index,checkpoint,threshold,num_linear_layers,test_loss,test_acc
2000,step_002000.pt,0.15916296094655988,1,1.9534449533462523,0.2831
4000,step_004000.pt,0.15916296094655988,1,1.7831991514205932,0.369
4000,step_004000.pt,0.2058541439473629,1,1.7831991514205932,0.369
8000,step_008000.pt,0.15916296094655988,1,1.8086206171035766,0.3669
9000,step_009000.pt,0.15916296094655988,2,1.8341042055130006,0.3718
10000,step_010000.pt,0.15916296094655988,3,1.7074602371215821,0.4185
10000,step_010000.pt,0.2058541439473629,1,1.6395645574569702,0.4243
10000,step_010000.pt,0.2223100662231445,1,1.6395645574569702,0.4243
11000,step_011000.pt,0.15916296094655988,2,1.7141247680664062,0.4049
11000,step_011000.pt,0.2058541439473629,2,1.7141247680664062,0.4049
11000,step_011000.pt,0.2223100662231445,2,1.7141247680664062,0.4049
12000,step_012000.pt,0.15916296094655988,3,2.1309945510864257,0.3045
12000,step_012000.pt,0.2058541439473629,1,1.6007143547058105,0.4397
12000,step_012000.pt,0.2223100662231445,1,1.6007143547058105,0.4397
13000,step_013000.pt,0.15916296094655988,5,2.4927229110717772,0.1895
13000,step_013000.pt,0.2058541439473629,1,1.5232341896057129,0.4749
13000,step_013000.pt,0.2223100662231445,1,1.5232341896057129,0.4749
14000,step_014000.pt,0.15916296094655988,4,2.3870499355316164,0.2175
14000,step_014000.pt,0.2058541439473629,2,1.683475655555725,0.4166
14000,step_014000.pt,0.2223100662231445,2,1.683475655555725,0.4166
15000,step_015000.pt,0.15916296094655988,4,2.3344267578125,0.2452
15000,step_015000.pt,0.2058541439473629,2,1.8023162050247192,0.3743
15000,step_015000.pt,0.2223100662231445,2,1.8023162050247192,0.3743
16000,step_016000.pt,0.15916296094655988,4,1.881278274154663,0.3408
16000,step_016000.pt,0.2058541439473629,2,1.8891733957290648,0.3289
16000,step_016000.pt,0.2223100662231445,2,1.8891733957290648,0.3289
16000,step_016000.pt,0.3333848714828491,1,1.2760599365234375,0.5888
17000,step_017000.pt,0.15916296094655988,6,2.2653589435577395,0.1996
17000,step_017000.pt,0.2058541439473629,4,2.4261748790740967,0.193
17000,step_017000.pt,0.2223100662231445,3,2.098139642715454,0.2751
18000,step_018000.pt,0.15916296094655988,6,2.4881221504211424,0.1713
18000,step_018000.pt,0.2058541439473629,4,2.5581685791015625,0.1778
18000,step_018000.pt,0.2223100662231445,4,2.5581685791015625,0.1778
19000,step_019000.pt,0.15916296094655988,6,2.3196983226776124,0.2026
19000,step_019000.pt,0.2058541439473629,4,2.2665969589233397,0.2426
19000,step_019000.pt,0.2223100662231445,4,2.2665969589233397,0.2426
20000,step_020000.pt,0.15916296094655988,6,2.2884981430053712,0.2105
20000,step_020000.pt,0.2058541439473629,5,2.184578672027588,0.2718
20000,step_020000.pt,0.2223100662231445,4,2.355028201675415,0.2193
21000,step_021000.pt,0.15916296094655988,7,2.4883064628601073,0.165
21000,step_021000.pt,0.2058541439473629,4,2.172102273178101,0.2684
21000,step_021000.pt,0.2223100662231445,4,2.172102273178101,0.2684
22000,step_022000.pt,0.15916296094655988,7,2.616040941619873,0.1469
22000,step_022000.pt,0.2058541439473629,5,2.265868963623047,0.2495
22000,step_022000.pt,0.2223100662231445,4,2.262302375030518,0.2346
22000,step_022000.pt,0.3333848714828491,1,1.9194124114990234,0.3304
23000,step_023000.pt,0.15916296094655988,7,2.8198410697937013,0.14
23000,step_023000.pt,0.2058541439473629,5,2.1825545536041258,0.2503
23000,step_023000.pt,0.2223100662231445,5,2.1825545536041258,0.2503
23000,step_023000.pt,0.3333848714828491,1,1.865914415359497,0.3484
24000,step_024000.pt,0.15916296094655988,7,2.8171261264801024,0.1444
24000,step_024000.pt,0.2058541439473629,4,2.4511036933898924,0.2034
24000,step_024000.pt,0.2223100662231445,4,2.4511036933898924,0.2034
24000,step_024000.pt,0.3333848714828491,2,2.102278221130371,0.2793
24000,step_024000.pt,0.396974965929985,1,1.1783804494857788,0.6286
