arch,width,seed,noise,params
basenet18,64,0,0,11000138
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.4161581993103027,0.0703125,2.302314300918579,0.1086,-0.018630316480994225,-0.021717142313718796,0.051878757774829865,0.0021056639961898327,0.011839598417282104,0.02524837665259838,-0.007941696792840958,-0.021092548966407776,-0.025603650137782097,0.010689073242247105,0.0074856881983578205,0.0017386937979608774,0.002337551210075617,0.00684652104973793,-0.00025820115115493536,0.0002784926618915051,0.0010030957637354732
1000,1.3313097953796387,0.5390625,1.1457945859909058,0.5796,-0.025406986474990845,0.0011733139399439096,0.016169119626283646,0.03032984584569931,0.03188681602478027,-0.0035034266766160727,0.01533177588135004,-0.010717432014644146,0.023954670876264572,0.014786171726882458,0.01641005277633667,0.014666725881397724,0.010444405488669872,-0.001125349779613316,-0.015645839273929596,-0.016872307285666466,-0.009964879602193832
2000,0.8156838417053223,0.703125,0.8294937668800354,0.7058,-0.02090468443930149,0.013555960729718208,0.011775304563343525,0.044437069445848465,0.02322019636631012,-0.0009984673233702779,0.008604913018643856,-0.006287054158747196,0.011146334931254387,0.023897163569927216,0.012599083594977856,0.0062481071799993515,0.005579405929893255,0.007082777563482523,-0.026812687516212463,-0.03279918059706688,-0.008775006048381329
3000,0.6593012809753418,0.7265625,0.7142725561141968,0.7531,-0.010800623334944248,0.001351706450805068,-0.004398423247039318,0.04807932674884796,0.02832237258553505,0.009391880594193935,0.014111176133155823,-0.005578822456300259,0.023315291851758957,0.014499589800834656,0.010236494243144989,0.015333415009081364,0.011550004594027996,0.006224471144378185,-0.015448294579982758,-0.02886379510164261,-0.011263594962656498
4000,0.3965340852737427,0.8515625,0.5563865947723389,0.8091,-0.007308368571102619,0.00534561462700367,0.010262821801006794,0.04789571464061737,0.03336498141288757,0.016070054844021797,0.010252485983073711,-0.006163413170725107,0.02615620382130146,0.014907056465744972,-3.309914609417319e-05,0.0012354245409369469,0.011760642752051353,0.0061820875853300095,-0.02485070191323757,-0.03593244031071663,-0.01616710051894188
5000,0.43192437291145325,0.84375,0.47115935745239257,0.839,-0.006638160906732082,0.0004962127422913909,0.0035418393090367317,0.05351612716913223,0.04090328887104988,0.013890234753489494,-0.002269905060529709,-0.011923067271709442,0.008845836855471134,0.007410813122987747,-0.0016121170483529568,0.00736008957028389,0.01156200934201479,0.012029936537146568,-0.017351441085338593,-0.03220599144697189,0.0025423145852983
6000,0.2885141968727112,0.90625,0.4450239644050598,0.8491,-0.015051141381263733,0.0025594858452677727,0.004349614027887583,0.054142992943525314,0.029346518218517303,0.009508905000984669,0.00268147187307477,-0.017351314425468445,0.007511347997933626,0.0010182684054598212,-0.01055309921503067,-0.005174980033189058,0.011129561811685562,0.011680036783218384,-0.026033001020550728,-0.02601921372115612,-0.005140569992363453
7000,0.32510703802108765,0.90625,0.4092033496141434,0.862,-0.0028703645803034306,-0.0041183228604495525,0.007164768874645233,0.049571648240089417,0.03285762295126915,0.018189402297139168,-0.005404765717685223,-0.013244790025055408,0.011279799975454807,-0.0006207228871062398,-0.006817334331572056,-0.0010080087231472135,0.005366311874240637,0.015576228499412537,-0.03057577647268772,-0.029929744079709053,0.007307227700948715
8000,0.2814241945743561,0.9296875,0.41694131312370303,0.8645,0.009033515118062496,-0.002159425523132086,-0.003453778335824609,0.0520235151052475,0.019694583490490913,0.019899945706129074,-0.003923872485756874,-0.017246918752789497,0.008359026163816452,-0.010089543648064137,-0.013161650858819485,-0.009510685689747334,0.002759714378044009,0.017746765166521072,-0.031102927401661873,-0.029097819700837135,0.011181285604834557
