model,epoch,block_idx,val_loss,val_acc,activation
vit_small_patch16_224,1,0,0.08339186310768128,54.2,-0.5460886880755424
vit_small_patch16_224,1,1,0.08339186310768128,54.2,-0.47875889856368303
vit_small_patch16_224,1,2,0.08339186310768128,54.2,-0.5676980393473059
vit_small_patch16_224,1,3,0.08339186310768128,54.2,-0.5538419880904257
vit_small_patch16_224,1,4,0.08339186310768128,54.2,-0.5471982409362681
vit_small_patch16_224,1,5,0.08339186310768128,54.2,-0.580150434281677
vit_small_patch16_224,1,6,0.08339186310768128,54.2,-0.6129692473914474
vit_small_patch16_224,1,7,0.08339186310768128,54.2,-0.7172904494218528
vit_small_patch16_224,1,8,0.08339186310768128,54.2,-0.6129692473914474
vit_small_patch16_224,1,9,0.08339186310768128,54.2,-0.6129692473914474
vit_small_patch16_224,1,10,0.08339186310768128,54.2,-0.6129692473914474
vit_small_patch16_224,1,11,0.08339186310768128,54.2,-0.8447177298367023
vit_small_patch16_224,1,12,0.06996201276779175,62.6,-0.6312757411506027
vit_small_patch16_224,1,13,0.06996201276779175,62.6,-0.6312139418441802
vit_small_patch16_224,1,14,0.06996201276779175,62.6,-0.7405600431375206
vit_small_patch16_224,1,15,0.06996201276779175,62.6,-0.7406532391905785
vit_small_patch16_224,1,16,0.06996201276779175,62.6,-1.8915924904868007
vit_small_patch16_224,1,17,0.06996201276779175,62.6,-1.8913305525202304
vit_small_patch16_224,1,18,0.06996201276779175,62.6,-3.235208190046251
vit_small_patch16_224,1,19,0.06996201276779175,62.6,-3.234401788096875
vit_small_patch16_224,1,20,0.06996201276779175,62.6,-13.541100923903286
vit_small_patch16_224,1,21,0.06996201276779175,62.6,-13.540948115289211
vit_small_patch16_224,1,22,0.06996201276779175,62.6,-0.835487175732851
vit_small_patch16_224,1,23,0.06996201276779175,62.6,-0.840486304834485
vit_small_patch16_224,2,0,0.06996201276779175,62.6,-0.5974793955683708
vit_small_patch16_224,2,1,0.06996201276779175,62.6,-0.5984612461179495
vit_small_patch16_224,2,2,0.06996201276779175,62.6,-0.5115368934348226
vit_small_patch16_224,2,3,0.06996201276779175,62.6,-0.5113208824768662
vit_small_patch16_224,2,4,0.06996201276779175,62.6,-0.5808800833765417
vit_small_patch16_224,2,5,0.06996201276779175,62.6,-0.5800252738408744
vit_small_patch16_224,2,6,0.06996201276779175,62.6,-0.5815698900260031
vit_small_patch16_224,2,7,0.06996201276779175,62.6,-0.5801041712984443
vit_small_patch16_224,2,8,0.06996201276779175,62.6,-0.5664554287795909
vit_small_patch16_224,2,9,0.06996201276779175,62.6,-0.5658557424321771
vit_small_patch16_224,2,10,0.06996201276779175,62.6,-0.5946605890057981
vit_small_patch16_224,2,11,0.06996201276779175,62.6,-0.5951012508012354
vit_small_patch16_224,2,12,0.06996201276779175,62.6,-0.6312757411506027
vit_small_patch16_224,2,13,0.06996201276779175,62.6,-0.6312139418441802
vit_small_patch16_224,2,14,0.06996201276779175,62.6,-0.7405600431375206
vit_small_patch16_224,2,15,0.06996201276779175,62.6,-0.7406532391905785
vit_small_patch16_224,2,16,0.06996201276779175,62.6,-1.8915924904868007
vit_small_patch16_224,2,17,0.06996201276779175,62.6,-1.8913305525202304
vit_small_patch16_224,2,18,0.06996201276779175,62.6,-3.235208190046251
vit_small_patch16_224,2,19,0.06996201276779175,62.6,-3.234401788096875
vit_small_patch16_224,2,20,0.06996201276779175,62.6,-13.541100923903286
vit_small_patch16_224,2,21,0.06996201276779175,62.6,-13.540948115289211
vit_small_patch16_224,2,22,0.06996201276779175,62.6,-0.835487175732851
vit_small_patch16_224,2,23,0.06996201276779175,62.6,-0.840486304834485
vit_small_patch16_224,3,0,0.06008247137069702,64.8,-0.6592026110738516
vit_small_patch16_224,3,1,0.06008247137069702,64.8,-0.6587791778147221
vit_small_patch16_224,3,2,0.06008247137069702,64.8,-0.5416170293465257
vit_small_patch16_224,3,3,0.06008247137069702,64.8,-0.5417490042746067
vit_small_patch16_224,3,4,0.06008247137069702,64.8,-0.6052977624349296
vit_small_patch16_224,3,5,0.06008247137069702,64.8,-0.6037781718187034
vit_small_patch16_224,3,6,0.06008247137069702,64.8,-0.6162021746858954
vit_small_patch16_224,3,7,0.06008247137069702,64.8,-0.6155121913179755
vit_small_patch16_224,3,8,0.06008247137069702,64.8,-0.5830544838681817
vit_small_patch16_224,3,9,0.06008247137069702,64.8,-0.5821829955093563
vit_small_patch16_224,3,10,0.06008247137069702,64.8,-0.5985049144364893
vit_small_patch16_224,3,11,0.06008247137069702,64.8,-0.598502928391099
