arch,width,seed,noise,params
transformer,96,0,0.0,7742720
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
14,3.1178537592455022,0.6303166510200393,3.4208616029711556,0.5934059786986485,-4.890582084655762,-1.0762172937393188,-3.6367979049682617,-1.9286854267120361,-3.9578804969787598,-2.252157211303711,-3.3078668117523193,-1.981740117073059,-2.746023654937744,-1.2929937839508057,-2.8313496112823486,-1.5085537433624268
15,3.0976838958545274,0.6335765802762029,3.4256685620390033,0.5921138011277186,-4.918840408325195,-1.0547980070114136,-3.6326406002044678,-2.1274986267089844,-4.03020715713501,-2.279254674911499,-3.331465721130371,-2.1447508335113525,-2.758016347885132,-1.3722751140594482,-2.884636402130127,-1.572831392288208
16,3.0797799605468548,0.6368658273261523,3.425821651539817,0.593439541752439,-5.016717910766602,-1.091505527496338,-3.7129979133605957,-1.963280439376831,-4.058882713317871,-2.2644317150115967,-3.394778251647949,-2.176670789718628,-2.826103448867798,-1.2208716869354248,-2.924375295639038,-1.4621167182922363
17,3.0631359607346496,0.639837185726339,3.432610371469075,0.592231271815985,-5.0168585777282715,-1.0735708475112915,-3.7072913646698,-2.146603584289551,-4.064113140106201,-2.229072093963623,-3.39620041847229,-2.1618552207946777,-2.847382068634033,-1.3679547309875488,-2.9473814964294434,-1.5135374069213867
18,3.0475724540061915,0.6423576783406632,3.4351487809309202,0.593159849637519,-5.143824100494385,-1.0520235300064087,-3.730954170227051,-2.048534870147705,-4.1768035888671875,-2.326930284500122,-3.4969780445098877,-2.0907325744628906,-2.9043216705322266,-1.4412022829055786,-2.97455096244812,-1.585037112236023
19,3.0331158139616643,0.645010310439836,3.4460152549647307,0.5916606999015483,-5.251791477203369,-1.0672528743743896,-3.7636969089508057,-2.0673880577087402,-4.171350002288818,-2.3375189304351807,-3.473095178604126,-2.2398881912231445,-2.959089517593384,-1.4570358991622925,-3.062657117843628,-1.4843388795852661
20,3.018216116311793,0.6476040975386246,3.4434103629819646,0.5929081267340911,-5.2304511070251465,-1.0778193473815918,-3.8105854988098145,-1.9914121627807617,-4.227472305297852,-2.3818371295928955,-3.5342698097229004,-2.174192190170288,-2.9530317783355713,-1.413758397102356,-3.0013980865478516,-1.6112332344055176
21,3.0068775637985903,0.6498506781938648,3.445837017891924,0.5924494316656225,-5.283504486083984,-1.077966570854187,-3.7678749561309814,-1.969606876373291,-4.228063106536865,-2.4081506729125977,-3.4730143547058105,-2.1911988258361816,-2.9303839206695557,-1.3864742517471313,-3.0359952449798584,-1.5757832527160645
22,2.993418917952737,0.6522212312342561,3.455356723239255,0.5911628479369909,-5.342074394226074,-1.063960075378418,-3.8435518741607666,-2.0369317531585693,-4.243341445922852,-2.39322566986084,-3.5184056758880615,-2.1897144317626953,-2.9531569480895996,-1.3955223560333252,-3.0638084411621094,-1.5473445653915405
23,2.9808559750509076,0.6545591158758576,3.470133280241691,0.5896525105164235,-5.381336688995361,-1.0973773002624512,-3.8777778148651123,-2.001931667327881,-4.265373229980469,-2.403587579727173,-3.5707626342773438,-2.2026641368865967,-2.951077938079834,-1.454413890838623,-3.0976226329803467,-1.4558424949645996
24,2.970500558184134,0.6563962944821609,3.4662430475509383,0.5899881410543274,-5.436956882476807,-1.1098239421844482,-3.8829054832458496,-2.020078182220459,-4.324710845947266,-2.385100841522217,-3.5985214710235596,-2.215942621231079,-2.987827777862549,-1.4454289674758911,-3.116915702819824,-1.5275336503982544
25,2.9591128231071626,0.6586832918102627,3.4670600641009033,0.5902958023807393,-5.447793006896973,-1.11635160446167,-3.8872132301330566,-2.1310529708862305,-4.327306747436523,-2.325056791305542,-3.656795024871826,-2.2456295490264893,-3.0307247638702393,-1.4375195503234863,-3.0760498046875,-1.5853877067565918
26,2.9494617074368463,0.6602838339381525,3.475391613781468,0.589982547212029,-5.478037357330322,-1.1168674230575562,-3.9236743450164795,-2.007847309112549,-4.335536479949951,-2.4085693359375,-3.600414514541626,-2.2689762115478516,-3.006584882736206,-1.4537110328674316,-3.1013691425323486,-1.576003074645996
27,2.9386197777556426,0.6625381628674645,3.4896462107570536,0.5877841671887586,-5.52358865737915,-1.170398235321045,-3.915536880493164,-2.0024781227111816,-4.376184940338135,-2.346299886703491,-3.6113345623016357,-2.2247471809387207,-3.0308220386505127,-1.4389636516571045,-3.171396017074585,-1.5468796491622925
28,2.9300679127406757,0.6640913776996714,3.5004667116517956,0.5854011903696411,-5.575523376464844,-1.1732456684112549,-3.9321327209472656,-2.050177812576294,-4.3974528312683105,-2.398174285888672,-3.633594036102295,-2.254082679748535,-3.044006109237671,-1.5243654251098633,-3.1804916858673096,-1.5948898792266846
29,2.9216244638390054,0.665848770024315,3.4953979942265785,0.5872247829589188,-5.629316329956055,-1.1633211374282837,-3.9895827770233154,-2.0365285873413086,-4.464263439178467,-2.4088683128356934,-3.6865458488464355,-2.17093563079834,-3.073169708251953,-1.5033743381500244,-3.1724953651428223,-1.5865176916122437
30,2.912934265614285,0.6672053462253446,3.5060500544490463,0.587017810793878,-5.651581764221191,-1.1704938411712646,-3.9848787784576416,-2.084775924682617,-4.459983825683594,-2.402782917022705,-3.69399356842041,-2.133124828338623,-3.076153516769409,-1.5169470310211182,-3.18540358543396,-1.5983343124389648
31,2.905755934750461,0.6688119613248041,3.5135691195024883,0.5859270115456905,-5.649993896484375,-1.1390750408172607,-3.995837688446045,-2.1066627502441406,-4.495177745819092,-2.4419655799865723,-3.7251968383789062,-2.224907875061035,-3.098489999771118,-1.5305657386779785,-3.2365875244140625,-1.562315583229065
32,2.899538515623476,0.6702546061918762,3.5178633981872713,0.5851159044124228,-5.714217662811279,-1.1299594640731812,-4.015948295593262,-2.089064359664917,-4.476358890533447,-2.442876100540161,-3.7250378131866455,-2.231557846069336,-3.0976006984710693,-1.528475284576416,-3.196450710296631,-1.5926555395126343
33,2.8925149781515844,0.6716120200441568,3.524097541731078,0.5843775172290343,-5.720344543457031,-1.1296831369400024,-4.04192590713501,-2.125760555267334,-4.521270751953125,-2.4843530654907227,-3.744842529296875,-2.286428928375244,-3.093282699584961,-1.5303713083267212,-3.2352805137634277,-1.5708749294281006
34,2.8852029402045876,0.6732286869586286,3.5295515883302855,0.5839579790566545,-5.7574076652526855,-1.1302571296691895,-4.030721664428711,-2.1349642276763916,-4.5115461349487305,-2.4351677894592285,-3.7562201023101807,-2.27559232711792,-3.142190933227539,-1.5432665348052979,-3.256166934967041,-1.6158709526062012
35,2.879185656912449,0.6743632855781375,3.5355550480179123,0.5833930009845163,-5.790430545806885,-1.1161123514175415,-4.058046817779541,-2.101928234100342,-4.555492401123047,-2.417795419692993,-3.763571262359619,-2.333113193511963,-3.1324901580810547,-1.5297356843948364,-3.2356410026550293,-1.6187119483947754
36,2.8717304462518793,0.6759958678663787,3.5414360482624114,0.5836782869417345,-5.790511131286621,-1.0891700983047485,-4.071491718292236,-2.106677293777466,-4.541332721710205,-2.4269697666168213,-3.7930541038513184,-2.277804136276245,-3.179497718811035,-1.5287269353866577,-3.2701869010925293,-1.546636700630188
37,2.866252545028544,0.6772401987997714,3.5477093862586213,0.5825539246397565,-5.828570365905762,-1.1130948066711426,-4.081288814544678,-2.1515767574310303,-4.554491996765137,-2.426161766052246,-3.7799253463745117,-2.34997820854187,-3.146428108215332,-1.4132201671600342,-3.251344919204712,-1.611702799797058
38,2.859170396955551,0.6785615936482581,3.5538547062558026,0.5811386825382618,-5.845196723937988,-1.029492974281311,-4.0742998123168945,-2.1513075828552246,-4.604031085968018,-2.4798645973205566,-3.7808237075805664,-2.293853998184204,-3.1536855697631836,-1.4625576734542847,-3.3010284900665283,-1.5670621395111084
39,2.8525821750575666,0.67983398589856,3.5658083036481925,0.5813120916495123,-5.863776683807373,-1.0561050176620483,-4.096917629241943,-2.1033477783203125,-4.603983402252197,-2.4378926753997803,-3.8243205547332764,-2.2519118785858154,-3.1687209606170654,-1.3687570095062256,-3.288015127182007,-1.412845253944397
40,2.847703468124823,0.6809886881480934,3.569732645459678,0.5797793788597512,-5.887735843658447,-1.083404541015625,-4.08986234664917,-2.133976936340332,-4.601900100708008,-2.504011631011963,-3.7919728755950928,-2.3788743019104004,-3.15305233001709,-1.4850878715515137,-3.2709314823150635,-1.6161619424819946
41,2.841168359829978,0.6823827492426062,3.5808971772569045,0.5794437483218473,-5.897993564605713,-1.046286702156067,-4.090356826782227,-2.0850212574005127,-4.6054534912109375,-2.490544080734253,-3.842900514602661,-2.274094820022583,-3.1732606887817383,-1.5070486068725586,-3.3042213916778564,-1.5966216325759888
42,2.8350903833864423,0.6834138979326139,3.575945764115874,0.5794493421641457,-5.937974452972412,-1.0910093784332275,-4.1040568351745605,-2.134316921234131,-4.6073455810546875,-2.5100371837615967,-3.8468427658081055,-2.3250439167022705,-3.2203376293182373,-1.4808244705200195,-3.3392672538757324,-1.5613940954208374
43,2.8299727486181014,0.6848353921055976,3.5897891675053315,0.5787557057191444,-5.959980010986328,-1.0727810859680176,-4.110843658447266,-2.1286654472351074,-4.63557243347168,-2.528064727783203,-3.8679728507995605,-2.319169044494629,-3.2094006538391113,-1.662998080253601,-3.324923038482666,-1.6827706098556519
44,2.824179767258425,0.6859239199063003,3.5930025849134934,0.5783529490736598,-5.982993125915527,-1.0630437135696411,-4.140710830688477,-2.1515891551971436,-4.661250114440918,-2.558558702468872,-3.8843445777893066,-2.3054428100585938,-3.233577251434326,-1.664730429649353,-3.3622000217437744,-1.6889548301696777
45,2.8184438918674535,0.687173486160012,3.600541805700608,0.5772957128792625,-5.992469787597656,-1.0384390354156494,-4.148570537567139,-2.150761842727661,-4.69288444519043,-2.54263973236084,-3.927772045135498,-2.30468487739563,-3.240236759185791,-1.569185733795166,-3.3602213859558105,-1.6289763450622559
46,2.8132698973413457,0.6881231732658577,3.6044624467387596,0.5775362480980936,-6.019805908203125,-1.0907537937164307,-4.175012111663818,-2.157925844192505,-4.692700386047363,-2.617249011993408,-3.911283016204834,-2.2984981536865234,-3.264618396759033,-1.6186563968658447,-3.315983772277832,-1.6794441938400269
47,2.808957631150309,0.6889178948902646,3.6186334262970874,0.5764566365345029,-6.014453411102295,-1.0725630521774292,-4.180514335632324,-2.147554874420166,-4.657061576843262,-2.5971410274505615,-3.911318778991699,-2.3903133869171143,-3.2445757389068604,-1.62126886844635,-3.3647544384002686,-1.6163861751556396
48,2.8026314965180417,0.6902675604684733,3.6211843613365455,0.575841313881679,-6.0477142333984375,-1.1099659204483032,-4.1977667808532715,-2.1328892707824707,-4.700586795806885,-2.5486209392547607,-3.9128403663635254,-2.3773036003112793,-3.265939474105835,-1.5816631317138672,-3.3702075481414795,-1.6639288663864136
49,2.7981184198010465,0.6908750670382767,3.622852056369,0.5757406247203078,-6.0534820556640625,-1.0369528532028198,-4.189542770385742,-2.2529380321502686,-4.696035385131836,-2.599755048751831,-3.9231910705566406,-2.3416757583618164,-3.262511730194092,-1.7201619148254395,-3.3881521224975586,-1.7004144191741943
50,2.7922387947060643,0.6923786510338605,3.6261871015213067,0.5746330439452251,-6.059666633605957,-1.0813930034637451,-4.19474458694458,-2.1924099922180176,-4.724299430847168,-2.5638020038604736,-3.969757556915283,-2.376455783843994,-3.277134418487549,-1.6107239723205566,-3.395528793334961,-1.6761796474456787
51,2.7887976757259096,0.6930366260915382,3.6324718732333148,0.5741407858229661,-6.0952277183532715,-1.0930936336517334,-4.205676078796387,-2.191075563430786,-4.725498676300049,-2.6127264499664307,-3.9664809703826904,-2.292919397354126,-3.313861608505249,-1.7567992210388184,-3.3936238288879395,-1.6657637357711792
52,2.7832391273550345,0.6941161491412923,3.6398210767374826,0.5721493779647364,-6.097855567932129,-1.0680630207061768,-4.224087238311768,-2.219918966293335,-4.758060455322266,-2.6086807250976562,-3.9577434062957764,-2.3944060802459717,-3.277186632156372,-1.6745021343231201,-3.391047954559326,-1.7099194526672363
53,2.7786768779070723,0.6951242624218968,3.6358317499244306,0.5742023180882485,-6.127645969390869,-1.0615242719650269,-4.224749565124512,-2.230649948120117,-4.759708404541016,-2.6125850677490234,-3.9714133739471436,-2.410172939300537,-3.274712085723877,-1.7310566902160645,-3.3998961448669434,-1.7149804830551147
54,2.7744219084101376,0.6961552016990918,3.6527581540681804,0.5737659983889735,-6.142163276672363,-1.0832158327102661,-4.230551719665527,-2.231241226196289,-4.731231212615967,-2.5731048583984375,-3.9830312728881836,-2.359910249710083,-3.3049983978271484,-1.7473111152648926,-3.418520927429199,-1.6571919918060303
55,2.7708708066882615,0.6968998736612501,3.657893103144541,0.5733017094782064,-6.151727199554443,-1.089975118637085,-4.244480133056641,-2.2492222785949707,-4.790008068084717,-2.6492278575897217,-3.979806900024414,-2.378966808319092,-3.3418233394622803,-1.731584072113037,-3.413520097732544,-1.703358769416809
