arch,width,seed,noise,params
resnet18,1,0,0.15,11178954
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.3062905252838135,0.1295,2.2669383377075194,0.1621,0.007039675489068031,-0.022894643247127533,-0.00937659852206707,-0.023682404309511185,-0.01638188026845455,-0.028012067079544067,-0.000983516569249332,-0.00341381155885756,0.0034848020877689123,-0.004874629899859428,0.002271846169605851,0.017607439309358597,0.012060523964464664,0.021793102845549583,0.007046419661492109,0.011575879529118538,-0.0047490536235272884
2,2.270487815246582,0.1515,2.230196854019165,0.1833,0.007127735298126936,-0.021355917677283287,-0.010063204914331436,-0.02279583364725113,-0.018283240497112274,-0.027564197778701782,-0.0012974424753338099,-0.003236210672184825,0.003712400561198592,-0.005052634049206972,0.0034328228794038296,0.01824043318629265,0.013523612171411514,0.022099221125245094,0.005234329495579004,0.013099994510412216,-0.004241395276039839
3,2.246143812332153,0.16654,2.2007799842834475,0.2025,0.007421629503369331,-0.017454814165830612,-0.012013870291411877,-0.01931345835328102,-0.016367705538868904,-0.024388959631323814,-0.0009611389832571149,-0.003464115783572197,0.005448305979371071,-0.004236369393765926,0.0029724629130214453,0.01834980770945549,0.013085009530186653,0.02270156890153885,0.005889302119612694,0.012290042825043201,-0.004891530144959688
