arch,width,seed,noise,params
simplecnn,,1,0.1,153950
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
72,0.7703514172744751,0.80278,0.603701796245575,0.8221,0.13775017857551575,-0.1447923332452774,-0.16603073477745056,-0.06682009994983673
73,0.7706293710899353,0.80354,0.5791386699676514,0.8253,0.09893706440925598,-0.12119811028242111,-0.13122554123401642,-0.04803246259689331
74,0.7700366418457031,0.80574,0.6315225105285645,0.8013,0.1089947372674942,-0.11991514265537262,-0.14867553114891052,-0.0527857281267643
75,0.7678915508842469,0.80284,0.6172811371803284,0.8119,0.15686890482902527,-0.16579075157642365,-0.18207970261573792,-0.04854856804013252
76,0.7626607355117798,0.80596,0.6151764482975006,0.8122,0.13696037232875824,-0.14213259518146515,-0.1508745402097702,-0.05800513178110123
77,0.7586322206497192,0.80692,0.5942554929733276,0.8159,0.11334642022848129,-0.13401558995246887,-0.1453990936279297,-0.050689876079559326
78,0.7571618986701966,0.80628,0.6112983508110046,0.8118,0.0996154397726059,-0.11285987496376038,-0.14524611830711365,-0.02439284510910511
79,0.7550455301094056,0.80716,0.5953597259521485,0.8194,0.12522722780704498,-0.1455751359462738,-0.1428222954273224,-0.04014773666858673
80,0.7553453340339661,0.8069,0.6019373577594757,0.8182,0.10718116164207458,-0.13254155218601227,-0.14071694016456604,-0.04225926101207733
81,0.7523930680847168,0.80816,0.582635914850235,0.8211,0.10317523777484894,-0.1287562996149063,-0.14838308095932007,-0.04523170366883278
82,0.7494233040809631,0.80832,0.6028873285293579,0.8086,0.12027993053197861,-0.13790908455848694,-0.15010559558868408,-0.022650688886642456
83,0.7455830576515198,0.81016,0.6133765924930572,0.8093,0.13407091796398163,-0.15631450712680817,-0.1606253981590271,-0.057134415954351425
84,0.7483792848014832,0.80754,0.5845366055488587,0.8222,0.11030683666467667,-0.13242925703525543,-0.1448710411787033,-0.03388641029596329
85,0.7440708974838257,0.80828,0.6232509114265442,0.8004,0.10214091837406158,-0.12851104140281677,-0.1505856215953827,-0.057657692581415176
86,0.7442541824150085,0.80886,0.5963880412101745,0.8163,0.10454780608415604,-0.13053235411643982,-0.15288130939006805,-0.03407663106918335
87,0.7452217535018921,0.80842,0.6042011880874634,0.8143,0.10030189156532288,-0.11553599685430527,-0.1673375368118286,-0.08347287774085999
88,0.737584910068512,0.81018,0.6048013180732728,0.8153,0.12445449829101562,-0.14473876357078552,-0.17124266922473907,-0.0564659908413887
89,0.740526351852417,0.80896,0.6360853112220765,0.8034,0.105712890625,-0.12744443118572235,-0.1680820733308792,-0.08075880259275436
90,0.7347132687759399,0.8099,0.5948518802165985,0.8182,0.12221962958574295,-0.14637944102287292,-0.1774776130914688,-0.049247171729803085
91,0.7367794397354126,0.811,0.6019836841583251,0.8146,0.118698351085186,-0.15276740491390228,-0.1567726582288742,-0.042132169008255005
92,0.7310113661575317,0.81162,0.5764483476638794,0.8225,0.12427739799022675,-0.13779838383197784,-0.16213154792785645,-0.06602539122104645
93,0.7318953928375244,0.81138,0.5831332191467286,0.8229,0.1146911233663559,-0.1425875872373581,-0.17321240901947021,-0.034663815051317215
94,0.7288739771652222,0.81238,0.5921190676212311,0.8163,0.12290018796920776,-0.15162552893161774,-0.17495328187942505,-0.07383396476507187
95,0.7244210215950012,0.81258,0.6017574423789978,0.8124,0.11122122406959534,-0.14733989536762238,-0.1597958207130432,-0.05790475755929947
96,0.7243999194526672,0.81386,0.6011919186115265,0.8178,0.1103074699640274,-0.12945547699928284,-0.17961224913597107,-0.06166694685816765
97,0.7230123726272583,0.815,0.5897505846500397,0.8153,0.0935816615819931,-0.12807925045490265,-0.17859655618667603,-0.043279971927404404
