Layer1,Layer2,acc,avg_loss,epoch,run,model_name
0.13803208,-0.2968097,11.0,0.19257095,1.0,2.0,vgg_tiny
0.13331099,-0.46929345,15.0,0.17980167,2.0,2.0,vgg_tiny
0.10721614,-0.49584335,16.8,0.17540285,3.0,2.0,vgg_tiny
0.11177428,-0.6081401,19.8,0.1687503,4.0,2.0,vgg_tiny
0.107904196,-0.66696787,19.0,0.1640138,5.0,2.0,vgg_tiny
0.10327582,-0.7055335,20.6,0.16342625,6.0,2.0,vgg_tiny
0.106947385,-0.7805288,24.0,0.15335774,7.0,2.0,vgg_tiny
0.09925034,-0.8290509,25.0,0.15323162,8.0,2.0,vgg_tiny
0.0924778,-0.8294527,28.6,0.14923866,9.0,2.0,vgg_tiny
0.09426573,-0.90446323,25.4,0.15297039,10.0,2.0,vgg_tiny
0.089106984,-0.8897916,30.2,0.1399439,11.0,2.0,vgg_tiny
0.083006464,-0.8991699,25.6,0.1504805,12.0,2.0,vgg_tiny
0.08296848,-0.9150121,28.6,0.13764052,13.0,2.0,vgg_tiny
0.07800199,-0.9652914,27.0,0.14556524,14.0,2.0,vgg_tiny
0.0745181,-0.92345107,28.6,0.13854226,15.0,2.0,vgg_tiny
0.07582716,-0.98217136,29.0,0.14390507,16.0,2.0,vgg_tiny
0.073960856,-0.9847891,30.8,0.14025636,17.0,2.0,vgg_tiny
0.05933647,-0.8802338,26.6,0.14425287,18.0,2.0,vgg_tiny
0.060707387,-0.93169713,30.2,0.13635708,19.0,2.0,vgg_tiny
0.057567578,-0.9319891,29.2,0.14230898,20.0,2.0,vgg_tiny
0.054332364,-0.8927228,30.4,0.14025576,21.0,2.0,vgg_tiny
0.058758613,-0.95973855,28.4,0.14146657,22.0,2.0,vgg_tiny
0.045971267,-0.9003091,27.6,0.14122131,23.0,2.0,vgg_tiny
0.046139494,-0.9313939,28.4,0.1371812,24.0,2.0,vgg_tiny
0.044298593,-0.93438166,32.0,0.13719448,25.0,2.0,vgg_tiny
0.04195413,-0.93352574,31.2,0.1348949,26.0,2.0,vgg_tiny
0.032671638,-0.89145344,32.6,0.137804,27.0,2.0,vgg_tiny
0.036756057,-0.90255976,28.4,0.1449589,28.0,2.0,vgg_tiny
0.029444415,-0.8839102,29.6,0.14254008,29.0,2.0,vgg_tiny
0.02388006,-0.8498156,30.0,0.14239992,30.0,2.0,vgg_tiny
0.024380391,-0.873062,31.0,0.13570996,31.0,2.0,vgg_tiny
0.024632215,-0.89254254,31.2,0.13852645,32.0,2.0,vgg_tiny
0.02587657,-0.9017446,36.6,0.13104606,33.0,2.0,vgg_tiny
0.0164502,-0.8413836,26.6,0.14151329,34.0,2.0,vgg_tiny
0.012027332,-0.8337917,30.2,0.13736808,35.0,2.0,vgg_tiny
0.011312878,-0.8165769,34.0,0.13027269,36.0,2.0,vgg_tiny
0.005553334,-0.8294779,30.4,0.14153694,37.0,2.0,vgg_tiny
0.0049079494,-0.8056438,33.0,0.13428143,38.0,2.0,vgg_tiny
0.0016645005,-0.79168195,32.4,0.13619791,39.0,2.0,vgg_tiny
0.0028292472,-0.77086157,34.4,0.13610774,40.0,2.0,vgg_tiny
-0.0012198916,-0.7572398,33.4,0.13253553,41.0,2.0,vgg_tiny
-0.002098745,-0.7585047,37.0,0.12956552,42.0,2.0,vgg_tiny
-3.8817284e-06,-0.7666426,36.0,0.12759867,43.0,2.0,vgg_tiny
-0.008171711,-0.71728694,32.4,0.13617271,44.0,2.0,vgg_tiny
-0.01156426,-0.72746223,31.4,0.13463297,45.0,2.0,vgg_tiny
-0.010648904,-0.7291107,34.4,0.13050012,46.0,2.0,vgg_tiny
-0.009034789,-0.7407583,32.8,0.13429426,47.0,2.0,vgg_tiny
-0.014320077,-0.70131874,34.2,0.13106683,48.0,2.0,vgg_tiny
-0.017432963,-0.6942526,35.8,0.12760614,49.0,2.0,vgg_tiny
-0.01894543,-0.6960963,32.2,0.1416825,50.0,2.0,vgg_tiny
-0.01910012,-0.6779438,33.8,0.12833881,51.0,2.0,vgg_tiny
-0.023125874,-0.669051,34.6,0.12891078,52.0,2.0,vgg_tiny
-0.020008527,-0.66876185,30.8,0.13485363,53.0,2.0,vgg_tiny
0.16982307,0.09762038,5.0,0.21361986,0.0,3.0,vgg_tiny
0.13672258,-0.2651848,12.0,0.19195506,1.0,3.0,vgg_tiny
0.12959845,-0.41049397,15.2,0.1789047,2.0,3.0,vgg_tiny
0.12512793,-0.5338063,18.6,0.16569471,3.0,3.0,vgg_tiny
0.12767464,-0.69087744,17.8,0.17275132,4.0,3.0,vgg_tiny
0.12649216,-0.7646605,20.8,0.16529375,5.0,3.0,vgg_tiny
0.11494082,-0.7788451,26.4,0.15137999,6.0,3.0,vgg_tiny
0.116708465,-0.8538478,23.0,0.15480022,7.0,3.0,vgg_tiny
0.11515985,-0.9244113,22.4,0.15583515,8.0,3.0,vgg_tiny
0.098326206,-0.8839675,30.8,0.14750732,9.0,3.0,vgg_tiny
0.1031237,-0.9680656,21.8,0.15561572,10.0,3.0,vgg_tiny
0.09840742,-0.96567625,27.0,0.14529875,11.0,3.0,vgg_tiny
0.089015335,-0.95653576,27.4,0.1466335,12.0,3.0,vgg_tiny
0.084203415,-0.97974473,24.6,0.15453559,13.0,3.0,vgg_tiny
0.08593132,-0.97998255,27.2,0.14832272,14.0,3.0,vgg_tiny
0.07816808,-1.0077635,29.6,0.14552905,15.0,3.0,vgg_tiny
0.074064165,-1.0134683,32.4,0.13402423,16.0,3.0,vgg_tiny
0.0649191,-0.9731321,29.0,0.14579906,17.0,3.0,vgg_tiny
0.06826385,-1.0180061,29.4,0.1387695,18.0,3.0,vgg_tiny
0.06211441,-1.0135424,29.2,0.13679409,19.0,3.0,vgg_tiny
0.058694653,-1.0056471,30.8,0.13935882,20.0,3.0,vgg_tiny
0.057781704,-0.98864913,31.8,0.14125143,21.0,3.0,vgg_tiny
0.05778589,-1.0073233,31.0,0.1382135,22.0,3.0,vgg_tiny
0.05630938,-1.0316894,30.2,0.14064394,23.0,3.0,vgg_tiny
0.052681956,-1.0157703,28.8,0.1418224,24.0,3.0,vgg_tiny
0.047670253,-1.0062351,34.6,0.1293683,25.0,3.0,vgg_tiny
0.041759547,-0.97866535,32.2,0.13348937,26.0,3.0,vgg_tiny
0.038463194,-0.9432153,30.4,0.13710535,27.0,3.0,vgg_tiny
0.030801162,-0.9325613,35.0,0.13050875,28.0,3.0,vgg_tiny
0.030260999,-0.9482925,29.0,0.13711974,29.0,3.0,vgg_tiny
0.032740004,-1.0080339,34.8,0.12790395,30.0,3.0,vgg_tiny
0.0321776,-0.94950694,33.2,0.13431361,31.0,3.0,vgg_tiny
0.026138559,-0.92549634,38.2,0.13356999,32.0,3.0,vgg_tiny
0.0224348,-0.93703073,34.8,0.1296863,33.0,3.0,vgg_tiny
0.017602462,-0.89402115,33.0,0.13588259,34.0,3.0,vgg_tiny
0.02300245,-0.907338,35.6,0.13211855,35.0,3.0,vgg_tiny
0.019441165,-0.8665328,32.0,0.13326803,36.0,3.0,vgg_tiny
0.010388036,-0.8267847,37.0,0.12520176,37.0,3.0,vgg_tiny
0.012082316,-0.8406044,32.8,0.13843636,38.0,3.0,vgg_tiny
0.0054403204,-0.8412693,35.8,0.1292072,39.0,3.0,vgg_tiny
0.009411285,-0.83925825,35.8,0.12908968,40.0,3.0,vgg_tiny
0.0047619017,-0.81908834,35.8,0.13328035,41.0,3.0,vgg_tiny
0.00626131,-0.8035747,33.0,0.1355536,42.0,3.0,vgg_tiny
0.0007623238,-0.7904553,33.0,0.13191283,43.0,3.0,vgg_tiny
-0.0015146175,-0.78765386,32.0,0.13727115,44.0,3.0,vgg_tiny
-0.0051932232,-0.7783057,35.6,0.12722531,45.0,3.0,vgg_tiny
-0.0041732863,-0.76196975,34.8,0.12997141,46.0,3.0,vgg_tiny
-0.003476277,-0.7673481,34.0,0.12834541,47.0,3.0,vgg_tiny
0.16166791,0.08498745,5.8,0.21341836,0.0,4.0,vgg_tiny
0.15027626,-0.23931675,10.4,0.19516541,1.0,4.0,vgg_tiny
0.14238754,-0.43081895,11.4,0.18188794,2.0,4.0,vgg_tiny
0.14021312,-0.5458055,14.4,0.17760137,3.0,4.0,vgg_tiny
0.13290535,-0.6152052,17.8,0.16738203,4.0,4.0,vgg_tiny
0.13140672,-0.69910353,20.4,0.16421488,5.0,4.0,vgg_tiny
0.13099413,-0.7555188,17.8,0.16530313,6.0,4.0,vgg_tiny
0.127491,-0.8033105,20.6,0.16419801,7.0,4.0,vgg_tiny
0.12129933,-0.8218107,20.4,0.1614931,8.0,4.0,vgg_tiny
0.12029599,-0.86968964,27.2,0.14839299,9.0,4.0,vgg_tiny
0.1083997,-0.87076455,26.8,0.15382631,10.0,4.0,vgg_tiny
0.1050856,-0.86940306,27.8,0.14950266,11.0,4.0,vgg_tiny
0.113705605,-0.95749295,25.4,0.15421298,12.0,4.0,vgg_tiny
0.113263406,-0.97604215,28.4,0.14492361,13.0,4.0,vgg_tiny
0.1033727,-0.95956695,27.8,0.14510104,14.0,4.0,vgg_tiny
0.0932554,-0.938237,31.6,0.14454342,15.0,4.0,vgg_tiny
0.10032716,-0.988637,27.8,0.14405537,16.0,4.0,vgg_tiny
0.09197833,-0.98462147,27.4,0.15034184,17.0,4.0,vgg_tiny
0.08703357,-0.9989549,26.4,0.14810285,18.0,4.0,vgg_tiny
0.077604435,-0.9318914,27.0,0.14531015,19.0,4.0,vgg_tiny
0.08008228,-0.9909009,28.0,0.14635797,20.0,4.0,vgg_tiny
0.07332668,-0.9639341,30.8,0.13880596,21.0,4.0,vgg_tiny
0.07208179,-0.94070506,30.4,0.14279757,22.0,4.0,vgg_tiny
0.06706706,-0.95284456,32.4,0.13616073,23.0,4.0,vgg_tiny
0.06633704,-0.98289114,32.0,0.13592432,24.0,4.0,vgg_tiny
0.059022836,-0.9489464,27.2,0.14534886,25.0,4.0,vgg_tiny
0.056886602,-0.9772176,26.2,0.14317372,26.0,4.0,vgg_tiny
0.05153891,-0.9051698,35.0,0.13434413,27.0,4.0,vgg_tiny
0.056440752,-0.9505109,30.4,0.1411893,28.0,4.0,vgg_tiny
0.04672934,-0.90378916,27.6,0.14480838,29.0,4.0,vgg_tiny
0.04544448,-0.9550453,27.6,0.14162174,30.0,4.0,vgg_tiny
0.039323747,-0.9032827,32.6,0.13258049,31.0,4.0,vgg_tiny
0.03564708,-0.86888427,33.0,0.13917308,32.0,4.0,vgg_tiny
0.041885287,-0.91284776,32.0,0.13936791,33.0,4.0,vgg_tiny
0.028883517,-0.8725403,27.6,0.14301106,34.0,4.0,vgg_tiny
0.027281586,-0.88007236,34.0,0.1345962,35.0,4.0,vgg_tiny
0.025829216,-0.893558,35.4,0.1289801,36.0,4.0,vgg_tiny
0.025093295,-0.87400484,32.2,0.13723752,37.0,4.0,vgg_tiny
0.022329334,-0.874937,29.6,0.14012656,38.0,4.0,vgg_tiny
0.014194161,-0.84534705,31.4,0.13345781,39.0,4.0,vgg_tiny
0.017171727,-0.8248433,30.6,0.13528857,40.0,4.0,vgg_tiny
0.015314715,-0.85203093,33.4,0.1314548,41.0,4.0,vgg_tiny
0.010384088,-0.8275176,35.2,0.12802063,42.0,4.0,vgg_tiny
0.010255267,-0.85172653,30.0,0.13899049,43.0,4.0,vgg_tiny
0.012724983,-0.84241575,33.6,0.12851816,44.0,4.0,vgg_tiny
0.005841209,-0.8215632,32.2,0.13346335,45.0,4.0,vgg_tiny
-0.0013860365,-0.78115183,35.6,0.13318644,46.0,4.0,vgg_tiny
0.16954605,0.124170385,4.8,0.21658042,0.0,0.0,vgg_small
0.11795038,-0.37010503,13.0,0.19675392,1.0,0.0,vgg_small
0.11076304,-0.61402357,11.8,0.19260654,2.0,0.0,vgg_small
0.10578815,-0.82174295,18.0,0.17556116,3.0,0.0,vgg_small
0.09240851,-0.9958976,16.6,0.16733219,4.0,0.0,vgg_small
0.090630375,-1.1678777,18.8,0.16241416,5.0,0.0,vgg_small
0.07181291,-1.1508833,23.8,0.15890405,6.0,0.0,vgg_small
0.059439752,-1.1985241,21.2,0.15791927,7.0,0.0,vgg_small
0.061099485,-1.331842,22.6,0.15606362,8.0,0.0,vgg_small
0.04877123,-1.3391894,23.4,0.1602621,9.0,0.0,vgg_small
0.042539157,-1.397494,25.2,0.14981602,10.0,0.0,vgg_small
0.041931618,-1.4685725,26.8,0.14026293,11.0,0.0,vgg_small
0.04039649,-1.5820411,25.8,0.15048864,12.0,0.0,vgg_small
0.024939062,-1.4856484,28.2,0.14195952,13.0,0.0,vgg_small
0.029236227,-1.5790701,30.2,0.14157383,14.0,0.0,vgg_small
0.019080829,-1.5649427,26.4,0.14442985,15.0,0.0,vgg_small
0.012235018,-1.5893989,28.0,0.1435143,16.0,0.0,vgg_small
0.010569843,-1.6410345,29.4,0.1476105,17.0,0.0,vgg_small
0.00931292,-1.6645874,27.0,0.14051095,18.0,0.0,vgg_small
0.0039897817,-1.6542112,28.4,0.13923892,19.0,0.0,vgg_small
-0.0019333091,-1.674981,30.6,0.14325365,20.0,0.0,vgg_small
-0.007511847,-1.6591316,29.0,0.1460222,21.0,0.0,vgg_small
-0.012127127,-1.6629642,30.2,0.14290121,22.0,0.0,vgg_small
-0.018230576,-1.6127644,27.4,0.14081632,23.0,0.0,vgg_small
-0.021593802,-1.6666939,33.0,0.1332709,24.0,0.0,vgg_small
