arch,width,seed,noise,params
simplecnn,75,0,0.1,2136535
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
22,0.8823371873855591,0.77016,0.6592687963008881,0.7952,-0.03331761807203293,-0.05200608819723129,-0.019104724749922752,-0.06774665415287018
23,0.8659629550743103,0.77466,0.7385235257148742,0.7683,-0.023415042087435722,-0.05939687415957451,-0.037454746663570404,-0.014985629357397556
24,0.8570437665939331,0.77722,0.7117604795455933,0.7795,-0.05461419001221657,-0.012848359532654285,-0.009587260894477367,-0.0968620628118515
25,0.840976473274231,0.78326,0.8636190130233765,0.7167,-0.01834849640727043,-0.06567864120006561,-0.09513404965400696,0.018300708383321762
26,0.8302698938941956,0.78482,0.6081890570640563,0.8119,-0.03462361544370651,-0.05444306507706642,-0.04340079054236412,-0.04106578230857849
27,0.8140457495307922,0.79016,0.6269794927597045,0.8018,-0.01919945888221264,-0.05652307718992233,-0.01903533935546875,-0.064623162150383
28,0.8011215004730224,0.79404,0.8137753176689148,0.7268,-0.02394329197704792,-0.07209504395723343,-0.038005080074071884,-0.04697153717279434
29,0.7885691507911682,0.79582,0.61284439163208,0.8103,-0.03756554424762726,-0.05123227834701538,-0.04194691777229309,-0.03270399942994118
30,0.7771304803848267,0.80074,0.7075487534523011,0.7741,-0.011033477261662483,-0.0793793722987175,-0.062245551496744156,-0.035971421748399734
31,0.7662926680183411,0.80256,0.6306723072052002,0.8026,-0.0332760363817215,-0.06729847192764282,-0.04220198839902878,-0.039790451526641846
32,0.752246024017334,0.80568,0.683408323764801,0.7839,-0.04302992671728134,-0.05388931557536125,-0.041828859597444534,-0.06398680806159973
33,0.7365015362358093,0.81084,0.6234603342056274,0.805,-0.027291329577565193,-0.06477861851453781,-0.05544642359018326,-0.049799803644418716
34,0.731197587184906,0.81096,0.6398997097015381,0.7954,-0.009980617091059685,-0.09050556272268295,-0.06517866998910904,-0.015475931577384472
35,0.7162769598579407,0.81402,0.600542220401764,0.8145,-0.04757630079984665,-0.035163477063179016,-0.05165770649909973,-0.05688107758760452
36,0.7061125714302063,0.8161,0.61400398645401,0.8032,-0.01880735345184803,-0.0810641348361969,-0.059942156076431274,-0.055556148290634155
37,0.6904012234306336,0.82234,0.6921297963142395,0.7795,-0.03770461678504944,-0.042493510991334915,-0.044220853596925735,-0.05132578685879707
38,0.6778212426567077,0.82438,0.6248342381477356,0.8062,-0.031121212989091873,-0.06667700409889221,-0.061634361743927,-0.05591578036546707
39,0.670177292022705,0.82668,0.5805525288105011,0.8172,-0.029503704980015755,-0.0638098493218422,-0.06336519867181778,-0.06615346670150757
40,0.6515183064842224,0.82978,0.6455893239974976,0.7952,-0.033170878887176514,-0.06473331898450851,-0.043467868119478226,-0.07589869201183319
41,0.6456521390914917,0.83112,0.5960436514854431,0.8199,-0.02405085414648056,-0.08382629603147507,-0.058014877140522,-0.0518990121781826
42,0.6340331708717346,0.83412,0.7045318224906921,0.771,-0.031146012246608734,-0.07696196436882019,-0.050635188817977905,-0.06990224868059158
43,0.620131633529663,0.8375,0.6671307523727417,0.7879,-0.020136378705501556,-0.09058862924575806,-0.063980333507061,-0.03624352440237999
44,0.6130203373718262,0.83794,0.5945048896789551,0.8163,-0.03420531749725342,-0.07017743587493896,-0.07676088809967041,-0.033544499427080154
45,0.5976097034263611,0.84282,0.7236160541057587,0.7657,-0.053477995097637177,-0.04260052740573883,-0.03673714026808739,-0.10872156918048859
46,0.5841164774894715,0.8455,0.5820860046386719,0.819,-0.04824512451887131,-0.06333018094301224,-0.0437328927218914,-0.09156803786754608
47,0.5754672961807251,0.8462,0.6849449702262879,0.781,-0.011332182213664055,-0.11105654388666153,-0.10649705678224564,-0.016927428543567657
48,0.5647259134101867,0.8478,0.7804040404319763,0.7384,-0.04128133878111839,-0.06039690598845482,-0.06837743520736694,-0.06119703873991966
49,0.5510378775024414,0.85218,0.6448516050338745,0.7928,-0.052351683378219604,-0.07462730258703232,-0.04604146257042885,-0.08463579416275024
50,0.5415666601371765,0.85528,0.5857538232803344,0.819,-0.015496009960770607,-0.09940756857395172,-0.0897643119096756,-0.0536450520157814
51,0.5316779930973053,0.85656,0.608459877204895,0.8099,-0.05189411714673042,-0.05010000616312027,-0.05194628983736038,-0.12030253559350967
52,0.5189543784713745,0.86022,0.6773041885375977,0.7819,-0.04916927218437195,-0.061261244118213654,-0.07454407960176468,-0.06469579041004181
53,0.5131137008476258,0.8599,0.6876440485954285,0.7739,-0.0026291217654943466,-0.13386701047420502,-0.09940168261528015,-0.02075779438018799
