index,checkpoint,threshold,num_linear_layers,test_loss,test_acc
1,step_000001.pt,0.025,2,2.3012014328002928,0.147
1,step_000001.pt,0.05,1,2.300446850967407,0.1305
1000,step_001000.pt,0.025,6,48.00445733642578,0.1602
1000,step_001000.pt,0.05,1,2.0357244678497315,0.3163
2000,step_002000.pt,0.025,9,570.83732421875,0.1476
2000,step_002000.pt,0.05,4,11.19636139678955,0.1761
3000,step_003000.pt,0.025,10,550.9214458984375,0.1312
3000,step_003000.pt,0.05,5,46.09269077148438,0.1237
3000,step_003000.pt,0.1,1,2.3274884323120117,0.3776
4000,step_004000.pt,0.025,13,1738.987776953125,0.1522
4000,step_004000.pt,0.05,6,47.62474959106445,0.1457
4000,step_004000.pt,0.1,2,3.3077978927612306,0.3265
5000,step_005000.pt,0.025,13,1274.6556623046874,0.1856
5000,step_005000.pt,0.05,8,452.519694921875,0.1092
5000,step_005000.pt,0.1,2,3.3192860019683836,0.3163
6000,step_006000.pt,0.025,12,1415.4637065429688,0.1695
6000,step_006000.pt,0.05,9,136.18002573242188,0.2314
6000,step_006000.pt,0.1,3,4.78150803565979,0.2296
6000,step_006000.pt,0.15,2,2.8700784519195555,0.3518
7000,step_007000.pt,0.025,12,510.7648370605469,0.1402
7000,step_007000.pt,0.05,10,266.558257421875,0.1127
7000,step_007000.pt,0.1,4,5.232401612854004,0.2295
7000,step_007000.pt,0.15,2,3.742484706878662,0.2992
8000,step_008000.pt,0.025,12,790.8937077148438,0.1073
8000,step_008000.pt,0.05,9,219.34014306640626,0.1
8000,step_008000.pt,0.1,5,25.94499692077637,0.1006
8000,step_008000.pt,0.15,2,2.6289618045806886,0.3802
8000,step_008000.pt,0.2,1,1.305839596748352,0.5894
9000,step_009000.pt,0.025,12,431.8662681640625,0.1135
9000,step_009000.pt,0.05,10,214.37368466796875,0.1007
9000,step_009000.pt,0.1,4,5.103977293395996,0.1878
9000,step_009000.pt,0.15,1,1.1266384363174438,0.6458
9000,step_009000.pt,0.2,1,1.1266384363174438,0.6458
10000,step_010000.pt,0.025,11,214.8186143798828,0.1052
10000,step_010000.pt,0.05,10,149.79659279785156,0.1002
10000,step_010000.pt,0.1,4,4.889822961425781,0.2295
10000,step_010000.pt,0.15,1,1.2678340841293334,0.6233
10000,step_010000.pt,0.2,1,1.2678340841293334,0.6233
11000,step_011000.pt,0.025,11,182.6780745361328,0.1256
11000,step_011000.pt,0.05,11,182.6780745361328,0.1256
11000,step_011000.pt,0.1,4,5.206887522125244,0.2055
11000,step_011000.pt,0.15,1,0.9618655960083008,0.6913
11000,step_011000.pt,0.2,1,0.9618655960083008,0.6913
12000,step_012000.pt,0.025,11,121.57166340332031,0.1297
12000,step_012000.pt,0.05,11,121.57166340332031,0.1297
12000,step_012000.pt,0.1,5,5.699281120300293,0.244
12000,step_012000.pt,0.15,1,0.8884344903945923,0.7039
12000,step_012000.pt,0.2,1,0.8884344903945923,0.7039
13000,step_013000.pt,0.025,12,207.36497666015626,0.1053
13000,step_013000.pt,0.05,10,70.78017396240234,0.1166
13000,step_013000.pt,0.1,6,12.654802560424805,0.1916
13000,step_013000.pt,0.15,2,2.243969821357727,0.456
13000,step_013000.pt,0.2,1,0.8387970061302185,0.7226
14000,step_014000.pt,0.025,11,99.20106134033203,0.1406
14000,step_014000.pt,0.05,10,56.906468884277345,0.1197
14000,step_014000.pt,0.1,6,10.012302255249024,0.2276
14000,step_014000.pt,0.15,2,2.030623383140564,0.4746
14000,step_014000.pt,0.2,1,0.7997361265182495,0.7394
15000,step_015000.pt,0.025,11,74.38207032470703,0.1213
15000,step_015000.pt,0.05,10,53.3795215637207,0.1043
15000,step_015000.pt,0.1,6,12.295466439819336,0.2025
15000,step_015000.pt,0.15,2,1.3796068185806274,0.5801
15000,step_015000.pt,0.2,1,0.9028232447624207,0.7107
16000,step_016000.pt,0.025,11,93.90609509277344,0.1268
16000,step_016000.pt,0.05,9,41.6449953125,0.1274
16000,step_016000.pt,0.1,6,9.80784465484619,0.2239
16000,step_016000.pt,0.15,2,2.3038297090530397,0.4351
16000,step_016000.pt,0.2,1,0.7718859120368957,0.75
17000,step_017000.pt,0.025,11,132.05601259765626,0.1129
17000,step_017000.pt,0.05,9,49.48828173217773,0.123
17000,step_017000.pt,0.1,6,15.961878720092773,0.1504
17000,step_017000.pt,0.15,2,1.770148798751831,0.5069
17000,step_017000.pt,0.2,1,1.1038522693634034,0.6636
18000,step_018000.pt,0.025,11,93.88288062744141,0.1243
18000,step_018000.pt,0.05,10,61.33499456787109,0.1036
18000,step_018000.pt,0.1,6,9.945809648132323,0.2139
18000,step_018000.pt,0.15,2,1.3613089607238769,0.5946
18000,step_018000.pt,0.2,1,0.6839041493415833,0.7721
19000,step_019000.pt,0.025,10,46.295190234375,0.1039
19000,step_019000.pt,0.05,10,46.295190234375,0.1039
19000,step_019000.pt,0.1,6,8.339219900512695,0.2202
19000,step_019000.pt,0.15,3,1.5830821584701538,0.5311
19000,step_019000.pt,0.2,1,0.7557224119186401,0.7482
20000,step_020000.pt,0.025,10,59.78488068237305,0.1022
20000,step_020000.pt,0.05,9,41.725883172607425,0.127
20000,step_020000.pt,0.1,6,10.472288790893554,0.182
20000,step_020000.pt,0.15,2,1.3184310354232789,0.6134
20000,step_020000.pt,0.2,1,0.7590032681465149,0.7561
21000,step_021000.pt,0.025,10,44.30540457763672,0.1074
21000,step_021000.pt,0.05,9,34.93507626342773,0.1194
21000,step_021000.pt,0.1,6,8.616469122314452,0.2161
21000,step_021000.pt,0.15,3,1.7874864734649658,0.5078
21000,step_021000.pt,0.2,1,0.6365682156562805,0.7867
22000,step_022000.pt,0.025,10,45.63434209594727,0.1002
22000,step_022000.pt,0.05,9,30.718575201416016,0.1265
22000,step_022000.pt,0.1,6,8.853743576049805,0.2045
22000,step_022000.pt,0.15,3,1.133293289756775,0.7091
22000,step_022000.pt,0.2,1,0.602533136844635,0.8005
23000,step_023000.pt,0.025,10,45.6576150390625,0.1042
23000,step_023000.pt,0.05,9,29.598183489990234,0.1242
23000,step_023000.pt,0.1,6,10.17841717376709,0.1995
23000,step_023000.pt,0.15,3,1.9184674371719361,0.5913
23000,step_023000.pt,0.2,1,0.7003647356033326,0.7708
24000,step_024000.pt,0.025,10,38.26111678466797,0.106
24000,step_024000.pt,0.05,9,30.768768182373048,0.1314
24000,step_024000.pt,0.1,6,7.668830072021485,0.2111
24000,step_024000.pt,0.15,4,1.9233463380813598,0.5465
24000,step_024000.pt,0.2,1,0.7116781966209411,0.7674
25000,step_025000.pt,0.025,10,21.813306134033205,0.1192
25000,step_025000.pt,0.05,9,25.555329217529298,0.1184
25000,step_025000.pt,0.1,6,5.912350286865235,0.2504
25000,step_025000.pt,0.15,3,1.151200493812561,0.7064
25000,step_025000.pt,0.2,1,0.5635812000274658,0.8149
26000,step_026000.pt,0.025,10,50.424590417480466,0.1073
26000,step_026000.pt,0.05,9,39.59701145324707,0.1248
26000,step_026000.pt,0.1,6,8.706760371398925,0.193
26000,step_026000.pt,0.15,3,1.4260882347106933,0.6552
26000,step_026000.pt,0.2,2,1.146507908630371,0.6571
27000,step_027000.pt,0.025,10,24.42434946899414,0.1199
27000,step_027000.pt,0.05,9,26.079413790893554,0.1211
27000,step_027000.pt,0.1,6,6.720158080291748,0.2063
27000,step_027000.pt,0.15,3,1.21208697347641,0.6957
27000,step_027000.pt,0.2,1,0.5729906559944152,0.8114
28000,step_028000.pt,0.025,10,27.21712889404297,0.1049
28000,step_028000.pt,0.05,9,25.52761657409668,0.1117
28000,step_028000.pt,0.1,6,5.805847675323486,0.2381
28000,step_028000.pt,0.15,4,1.5752855257034302,0.6089
28000,step_028000.pt,0.2,1,0.5465476294517517,0.8203
29000,step_029000.pt,0.025,10,34.60148056030273,0.112
29000,step_029000.pt,0.05,9,22.133003407287596,0.1295
29000,step_029000.pt,0.1,5,4.440488750457764,0.287
29000,step_029000.pt,0.15,3,1.1790756481170654,0.7083
29000,step_029000.pt,0.2,1,0.5581894023418427,0.8134
30000,step_030000.pt,0.025,10,35.602615362548825,0.114
30000,step_030000.pt,0.05,9,34.07839932556152,0.1268
30000,step_030000.pt,0.1,6,7.072752927398682,0.1984
30000,step_030000.pt,0.15,3,1.4124315412521362,0.656
30000,step_030000.pt,0.2,1,0.5785758814811707,0.8078
31000,step_031000.pt,0.025,10,28.09312773742676,0.1268
31000,step_031000.pt,0.05,9,34.60121897888184,0.14
31000,step_031000.pt,0.1,6,6.240161865997314,0.2421
31000,step_031000.pt,0.15,3,1.5787000547409058,0.6364
31000,step_031000.pt,0.2,1,0.6718215724945068,0.7859
32000,step_032000.pt,0.025,10,28.312608447265625,0.1322
32000,step_032000.pt,0.05,9,27.40822628479004,0.1296
32000,step_032000.pt,0.1,6,5.948901904296875,0.254
32000,step_032000.pt,0.15,3,1.43186565990448,0.6725
32000,step_032000.pt,0.2,1,0.632110945224762,0.797
33000,step_033000.pt,0.025,10,35.20529007568359,0.1197
33000,step_033000.pt,0.05,8,23.25456427307129,0.1017
33000,step_033000.pt,0.1,6,8.940511618041992,0.1944
33000,step_033000.pt,0.15,3,1.7620728265762329,0.6082
33000,step_033000.pt,0.2,1,0.6747435394287109,0.784
34000,step_034000.pt,0.025,10,33.55106826171875,0.1124
34000,step_034000.pt,0.05,9,31.689207235717774,0.1318
34000,step_034000.pt,0.1,6,4.933456249237061,0.2879
34000,step_034000.pt,0.15,3,1.1658048095703124,0.7082
34000,step_034000.pt,0.2,2,0.9568264358520507,0.7105
35000,step_035000.pt,0.025,10,38.036926531982424,0.1117
35000,step_035000.pt,0.05,9,42.75066685180664,0.1232
35000,step_035000.pt,0.1,6,6.5167500648498535,0.2466
35000,step_035000.pt,0.15,4,1.7016919574737548,0.5973
35000,step_035000.pt,0.2,2,0.6617235496044159,0.817
36000,step_036000.pt,0.025,10,29.258418649291993,0.1237
36000,step_036000.pt,0.05,9,34.34296027832031,0.1165
36000,step_036000.pt,0.1,6,6.281915343475342,0.218
36000,step_036000.pt,0.15,3,1.0256609167099,0.7302
36000,step_036000.pt,0.2,2,0.6227972708702088,0.8265
37000,step_037000.pt,0.025,10,28.171584368896486,0.1282
37000,step_037000.pt,0.05,9,38.42838885498047,0.1145
37000,step_037000.pt,0.1,6,5.2567847579956055,0.2475
37000,step_037000.pt,0.15,4,1.7890015033721924,0.5851
37000,step_037000.pt,0.2,2,0.6775758643150329,0.8121
38000,step_038000.pt,0.025,10,35.2729798828125,0.1082
38000,step_038000.pt,0.05,9,38.94064412231445,0.1226
38000,step_038000.pt,0.1,6,7.422451398468017,0.1984
38000,step_038000.pt,0.15,4,1.7201748264312744,0.5923
38000,step_038000.pt,0.2,2,0.6092784433364868,0.8251
39000,step_039000.pt,0.025,10,28.196675680541993,0.1184
39000,step_039000.pt,0.05,9,33.5046770690918,0.1215
39000,step_039000.pt,0.1,6,6.171334014892578,0.2364
39000,step_039000.pt,0.15,3,1.3141343357086182,0.6893
39000,step_039000.pt,0.2,3,1.3141343357086182,0.6893
40000,step_040000.pt,0.025,10,27.970966809082032,0.1249
40000,step_040000.pt,0.05,9,39.29491295776367,0.1134
40000,step_040000.pt,0.1,6,5.827594683837891,0.2285
40000,step_040000.pt,0.15,3,1.2309194649696351,0.6966
40000,step_040000.pt,0.2,1,0.5831224954605102,0.8102
