arch,width,seed,noise,params
simplecnn,7,1,0.1,19491
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
36,1.10245068649292,0.69058,0.8122988097190857,0.7489,0.2770477533340454,-0.045337922871112823,-0.07505755871534348,-0.08353089541196823
37,1.1048159300613403,0.69066,0.8189018260002137,0.743,0.24019724130630493,-0.039305441081523895,-0.038578636944293976,-0.07587088644504547
38,1.1031445251083374,0.68982,0.8162389343261719,0.7455,0.2060600072145462,-0.01242913119494915,-0.05193592980504036,-0.07773629575967789
39,1.100364084815979,0.69262,0.8107954314231872,0.7466,0.20600451529026031,-0.01542256772518158,-0.0351366363465786,-0.11047954857349396
40,1.0986860971450805,0.69314,0.7823471445083618,0.7545,0.23379024863243103,-0.020105160772800446,-0.04928217828273773,-0.041563939303159714
41,1.0942932075119018,0.6931,0.7982601624488831,0.7483,0.27056121826171875,-0.048429738730192184,-0.056503888219594955,-0.07213285565376282
42,1.0909072828674315,0.6958,0.812752109336853,0.7431,0.22565282881259918,-0.03327052295207977,-0.051331132650375366,-0.04383743926882744
43,1.0942366774749757,0.69404,0.8413657927513123,0.7375,0.23079591989517212,-0.03822582587599754,-0.017034169286489487,-0.045408546924591064
44,1.0897453626251221,0.69686,0.8476002851486206,0.7293,0.2865043580532074,-0.06828838586807251,-0.04368019476532936,-0.06276918947696686
45,1.0914646300125121,0.69484,0.786048531627655,0.7564,0.18423743546009064,-0.003960699774324894,-0.0660785362124443,-0.0722118616104126
46,1.088180240058899,0.6952,0.8071065393447876,0.7512,0.19172810018062592,-0.026806164532899857,-0.03419340401887894,-0.07174317538738251
47,1.0896884589004516,0.69584,0.7816045872688293,0.7573,0.21543902158737183,-0.004423182923346758,-0.05605325102806091,-0.06416988372802734
48,1.0854309882354736,0.69594,0.807141201210022,0.7414,0.25700223445892334,-0.05839443951845169,-0.0644136369228363,-0.058851055800914764
49,1.0834982362556458,0.69942,0.7793510913848877,0.7619,0.22232142090797424,-0.02945004031062126,-0.055231764912605286,-0.07255635410547256
50,1.0797030865478516,0.70196,0.8094844673156738,0.7461,0.243213951587677,-0.043160438537597656,-0.06584800779819489,-0.047666531056165695
51,1.0784759064102172,0.69998,0.7817144766807557,0.7559,0.2567981481552124,-0.05242656171321869,-0.08307579904794693,-0.05815810337662697
