index,checkpoint,threshold,num_linear_layers,test_loss,test_acc
1,step_000001.pt,0.01,4,2.549512887954712,0.1
1,step_000001.pt,0.0125,2,2.3293411994934083,0.0985
1,step_000001.pt,0.015,2,2.3293411994934083,0.0985
1,step_000001.pt,0.025,2,2.3293411994934083,0.0985
1,step_000001.pt,0.03,1,2.304432141494751,0.0958
1,step_000001.pt,0.035,1,2.304432141494751,0.0958
1000,step_001000.pt,0.01,9,466.96706962890624,0.1702
1000,step_001000.pt,0.0125,7,206.97890073242186,0.1282
1000,step_001000.pt,0.015,5,33.223309008789066,0.1302
1000,step_001000.pt,0.025,2,2.3256140956878664,0.3455
2000,step_002000.pt,0.01,4,13.044385046386719,0.1401
2000,step_002000.pt,0.0125,3,4.7844906997680665,0.169
2000,step_002000.pt,0.015,3,4.7844906997680665,0.169
2000,step_002000.pt,0.025,3,4.7844906997680665,0.169
2000,step_002000.pt,0.03,3,4.7844906997680665,0.169
2000,step_002000.pt,0.035,2,2.103549278831482,0.338
3000,step_003000.pt,0.01,10,363.321971875,0.2031
3000,step_003000.pt,0.0125,8,146.20095561523436,0.1848
3000,step_003000.pt,0.015,7,65.5078796875,0.1934
3000,step_003000.pt,0.025,4,8.184620802307128,0.3144
3000,step_003000.pt,0.03,4,8.184620802307128,0.3144
3000,step_003000.pt,0.035,2,2.6455456481933592,0.3418
4000,step_004000.pt,0.01,7,74.54587661132813,0.1154
4000,step_004000.pt,0.0125,6,36.88427213745117,0.1038
4000,step_004000.pt,0.015,5,15.235538481140138,0.1541
4000,step_004000.pt,0.025,4,6.180925215148926,0.1763
4000,step_004000.pt,0.03,2,2.3827909116744994,0.3572
4000,step_004000.pt,0.035,2,2.3827909116744994,0.3572
5000,step_005000.pt,0.01,6,17.06483723754883,0.2674
5000,step_005000.pt,0.0125,3,3.7537122898101805,0.2385
5000,step_005000.pt,0.015,3,3.7537122898101805,0.2385
5000,step_005000.pt,0.025,3,3.7537122898101805,0.2385
5000,step_005000.pt,0.03,1,2.1745598709106444,0.4398
5000,step_005000.pt,0.035,1,2.1745598709106444,0.4398
6000,step_006000.pt,0.01,5,9.070300323486329,0.1449
6000,step_006000.pt,0.0125,4,3.8539051372528075,0.2222
6000,step_006000.pt,0.015,3,3.505545837020874,0.2177
6000,step_006000.pt,0.025,2,1.9752269399642943,0.459
6000,step_006000.pt,0.03,2,1.9752269399642943,0.459
6000,step_006000.pt,0.035,2,1.9752269399642943,0.459
7000,step_007000.pt,0.01,5,8.734475080871581,0.1016
7000,step_007000.pt,0.0125,5,8.734475080871581,0.1016
7000,step_007000.pt,0.015,4,4.12637953300476,0.1483
7000,step_007000.pt,0.025,3,3.5763472873687743,0.2214
8000,step_008000.pt,0.01,6,7.542610701751709,0.1792
8000,step_008000.pt,0.0125,5,5.59126986618042,0.2048
8000,step_008000.pt,0.015,5,5.59126986618042,0.2048
8000,step_008000.pt,0.025,2,3.659752400588989,0.3151
8000,step_008000.pt,0.03,1,1.1892153161048888,0.6798
