arch,width,seed,noise,params
resnet18,0.0625,0,0.15,44454
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.114159072418213,0.20814,1.8464425336837769,0.3078,-0.051832616329193115,-0.07155105471611023,0.05194517597556114,-0.05937131121754646,0.047071587294340134,-0.041050754487514496,-0.0068258303217589855,0.08872448652982712,0.04651348292827606,0.09244485199451447,-0.0006405703607015312,0.014104240573942661,-0.026956548914313316,0.013016091659665108,-0.022230997681617737,-0.007379618473351002,-0.010019239038228989
2,1.9625581771850586,0.28892,1.7161520656585694,0.3701,-0.004046571906656027,-0.028225362300872803,0.01866959035396576,-0.029181472957134247,0.0557377003133297,-0.01986641064286232,0.0003898224385920912,0.07904157787561417,0.0435117706656456,0.08132821321487427,-0.002488271566107869,0.025805678218603134,-0.01605963706970215,0.015381394885480404,-0.01873931847512722,-0.007808505091816187,0.008443123660981655
3,1.8942384380722046,0.32294,1.6294715398788453,0.4058,-0.0038095293566584587,-0.026650361716747284,0.030542857944965363,-0.02660691924393177,0.04786405712366104,-0.012080956250429153,0.0042970445938408375,0.07201239466667175,0.0464043915271759,0.07177847623825073,0.004332950804382563,0.023375432938337326,-0.010145824402570724,0.02095341496169567,0.0019335576798766851,-0.010149376466870308,0.024152183905243874
4,1.8464667095947265,0.34848,1.5810141679763794,0.4298,0.027854392305016518,-0.005236786790192127,0.01444380171597004,-0.007312246132642031,0.04975876957178116,0.003202675376087427,0.0016962051158770919,0.08139733225107193,0.058709707111120224,0.06705603003501892,-0.001227690139785409,0.033691029995679855,0.0014775394229218364,0.016574282199144363,-0.0010085164103657007,-0.0030871022026985884,0.03334132581949234
5,1.8151734688949586,0.36402,1.5256720148086549,0.4472,0.020473383367061615,-0.017503933981060982,0.04723811149597168,-0.017612934112548828,0.04539068043231964,0.0023773210123181343,0.0041364869102835655,0.06835466623306274,0.05493050813674927,0.06082237884402275,0.016697127372026443,0.01851794868707657,-0.006986027117818594,0.017764432355761528,0.008057024329900742,0.007999144494533539,0.01297598984092474
6,1.7942224389266967,0.37572,1.5087035530090331,0.4581,0.03518301248550415,0.002073864219710231,0.012974229641258717,-0.0063416678458452225,0.047952648252248764,0.013053938746452332,0.006393009331077337,0.07253579050302505,0.06282322853803635,0.05522395670413971,0.012086150236427784,0.02100667729973793,0.0005662861512973905,0.011660562828183174,0.0072294482961297035,0.005082176066935062,0.01664077863097191
7,1.7740546005630493,0.38574,1.502982328224182,0.4593,0.04071127623319626,0.013802747242152691,0.007682775147259235,0.0004870795819442719,0.043170105665922165,0.020661763846874237,0.004964582622051239,0.06484857201576233,0.05899203196167946,0.046027638018131256,0.009872762486338615,0.02278400957584381,0.007452381309121847,0.012796999886631966,0.00895641092211008,-0.006193151231855154,0.025791896507143974
8,1.75776935836792,0.39422,1.4675359182357788,0.4717,0.03502513840794563,0.0022640046663582325,0.02450154349207878,-0.008109732531011105,0.04543369635939598,0.021128425374627113,0.011241568252444267,0.06489664316177368,0.05910143256187439,0.05035784840583801,0.022054314613342285,0.019438035786151886,0.0038564777933061123,0.017460865899920464,0.024719655513763428,-0.002157786628231406,0.01803653873503208
9,1.744896837234497,0.40206,1.4497055536270143,0.4817,0.040120385587215424,0.016004787757992744,0.007833441719412804,-0.0019804576877504587,0.04756082221865654,0.0263940691947937,0.01245959009975195,0.06580159068107605,0.06294803321361542,0.04693397134542465,0.02089335024356842,0.02140234410762787,0.010294093750417233,0.012168098241090775,0.01743556372821331,-0.006778723560273647,0.027945635840296745
10,1.7372177471160888,0.40442,1.4383096900939942,0.4881,0.04987744241952896,0.015728268772363663,0.02048310451209545,-0.001802776358090341,0.05035372078418732,0.026794275268912315,0.01353051234036684,0.06700201332569122,0.0705580860376358,0.043654851615428925,0.024417640641331673,0.022424375638365746,0.007442924194037914,0.01357747707515955,0.015890393406152725,-0.006140789482742548,0.012169981375336647
