arch,width,seed,noise,params
transformer,400,1,0.0,52588800
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,7.160745498352646,0.05084480269857727,7.1391676243817725,0.04866642799606193,-0.12411908060312271,-0.011746568605303764,-0.03096240758895874,-0.006940909661352634,-0.09036652743816376,0.018203694373369217,0.00744845625013113,-0.03211395815014839,0.08264928311109543,-0.04561180993914604,0.12897354364395142,0.022946832701563835
2,7.1391998913986665,0.05105589081383473,7.134611945210217,0.04866642799606193,-0.12411544471979141,-0.012582475319504738,-0.031037788838148117,-0.007673317566514015,-0.0906074121594429,0.01690978743135929,0.006829656194895506,-0.03294769674539566,0.08341235667467117,-0.03493586555123329,0.21355928480625153,0.05903074890375137
3,7.137019126025186,0.05108248624105467,7.132534058497008,0.04866642799606193,-0.12411850690841675,-0.014566641300916672,-0.031099922955036163,-0.00798607524484396,-0.09088675677776337,0.015239894390106201,0.005994890350848436,-0.03233838081359863,0.08517800271511078,-0.014590482227504253,0.30648136138916016,0.0852435827255249
4,7.135902674865367,0.05108248624105467,7.1328141327367565,0.04866642799606193,-0.12411940097808838,-0.015275342389941216,-0.031115729361772537,-0.008765806443989277,-0.09105002880096436,0.014470236375927925,0.00510959280654788,-0.03019550070166588,0.08624006062746048,0.019306045025587082,0.4165179133415222,0.08444209396839142
5,7.135206224536189,0.05108248624105467,7.132613222776995,0.04866642799606193,-0.12411912530660629,-0.017837580293416977,-0.03114984929561615,-0.010125827975571156,-0.09119579195976257,0.012600865215063095,0.004314734134823084,-0.030918380245566368,0.08901790529489517,0.05283747613430023,0.49784043431282043,0.08665842562913895
6,7.134752384429777,0.05108248624105467,7.1321824424980385,0.04866642799606193,-0.1241190955042839,-0.01808827929198742,-0.03114348091185093,-0.010680479928851128,-0.09121797978878021,0.011809895746409893,0.0040721953846514225,-0.030173134058713913,0.08789776265621185,0.07683209329843521,0.5603673458099365,0.07999944686889648
7,7.134370223007107,0.05108248624105467,7.132199146431668,0.04866642799606193,-0.124119333922863,-0.017686324194073677,-0.03113209269940853,-0.010554746724665165,-0.09120070189237595,0.009688296355307102,0.003968390170484781,-0.0300728902220726,0.08818065375089645,0.09022354334592819,0.5743396282196045,0.07624547928571701
