arch,width,seed,noise,params
transformer,104,0,0.0,13980165
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,9.828318325936895,0.08578752107925801,8.560032123917932,0.0915915915915916,-0.013481490314006805,-0.05262251943349838,-0.019975200295448303,-0.007212135009467602,0.04972792789340019,0.0015405743615701795,-0.015318244695663452,-0.06472980231046677,-0.0732329934835434,-0.020037274807691574,-0.05527736619114876,0.006344082299619913
2,7.682046959167789,0.08890387858347386,7.091852088232298,0.0915915915915916,-0.014924799092113972,-0.04873152822256088,-0.021523281931877136,-0.01059297751635313,0.04872294142842293,-0.0007854403229430318,-0.018079113215208054,-0.0651533305644989,-0.0750136524438858,-0.02248569205403328,-0.05918992683291435,0.002951956121250987
3,6.765397570219249,0.08890387858347386,6.6896688737668795,0.0915915915915916,-0.014988075010478497,-0.042032815515995026,-0.02293580211699009,-0.01083445455878973,0.0471070222556591,-0.0015252761077135801,-0.01952769234776497,-0.06513838469982147,-0.07552050799131393,-0.023336388170719147,-0.06084326654672623,0.003874667454510927
4,6.577690583098799,0.08890387858347386,6.6540306951548605,0.0915915915915916,-0.013987146317958832,-0.02854030765593052,-0.02359846793115139,-0.009220806881785393,0.04271363839507103,-0.0018499180441722274,-0.02183663472533226,-0.0678776353597641,-0.07847068458795547,-0.02582317590713501,-0.0592394582927227,0.007834745571017265
5,6.567749398603005,0.08890387858347386,6.651121945889504,0.0915915915915916,-0.003223647829145193,0.04175281524658203,-0.01707114279270172,0.027819383889436722,0.02927912399172783,-0.04278337210416794,-0.036409325897693634,-0.047100041061639786,-0.08752522617578506,-0.03075432777404785,-0.0586516335606575,-0.0016756985569372773
6,6.559306423425272,0.08890387858347386,6.635154718930299,0.0915915915915916,-0.017683425918221474,0.04969427362084389,-0.03979390859603882,-0.005680698435753584,-0.007538069039583206,-0.0491088442504406,-0.05847940593957901,-0.07685954868793488,-0.10780732333660126,-0.05825081467628479,-0.08661949634552002,-0.015648508444428444
7,6.537248437125607,0.08922765598650928,6.610080283683342,0.09722222222222222,-0.04026918485760689,0.07223252952098846,-0.05831616371870041,-0.005931607913225889,-0.024633783847093582,-0.0700586587190628,-0.08650754392147064,-0.06394589692354202,-0.14466412365436554,-0.057971756905317307,-0.10178235918283463,-0.024512093514204025
8,6.506535395237889,0.09369308600337269,6.574916021959917,0.10135135135135136,-0.07823137938976288,0.05099048465490341,-0.06938163191080093,-0.03198789805173874,-0.050431497395038605,-0.07697927951812744,-0.11583618819713593,-0.052001189440488815,-0.16337382793426514,-0.06100445240736008,-0.11382560431957245,-0.03507814556360245
9,6.485867911539834,0.09647217537942665,6.564325196606977,0.10285285285285285,-0.12795500457286835,0.03742818534374237,-0.060426317155361176,-0.043554022908210754,-0.04669100046157837,-0.08303318172693253,-0.045495085418224335,-0.07769777625799179,-0.0844765156507492,-0.10036363452672958,-0.10278944671154022,-0.0656280368566513
10,6.455558919742578,0.10221922428330522,6.535382689477445,0.10397897897897898,-0.1519608348608017,0.02765631303191185,-0.09384538233280182,-0.04739515855908394,-0.09996995329856873,-0.0826648399233818,-0.09417243301868439,-0.08235220611095428,-0.14285442233085632,-0.11595876514911652,-0.15588721632957458,-0.08488145470619202
