arch,width,seed,noise,params
transformer,104,0,0.0,8525056
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_enc_layer1,p_enc_layer2,p_enc_layer3,p_enc_layer4,p_enc_layer5,p_dec_layer0,p_dec_layer1,p_dec_layer2,p_dec_layer3,p_dec_layer4,p_dec_layer5
1,9.494378641317134,0.04005225122727177,8.586134233280104,0.04664723032069971,0.03519432991743088,-0.03793494030833244,0.030437439680099487,0.016369445249438286,-0.05307849124073982,-0.00513297226279974,0.025562625378370285,0.016237180680036545,0.011797416023910046,-0.04390149563550949,-0.020365631207823753,0.012302694842219353
2,7.852460744325042,0.0434232981480311,7.55652795713775,0.04664723032069971,0.03406475856900215,-0.038148313760757446,0.026240581646561623,0.018097685649991035,-0.06200198456645012,-0.010681075975298882,0.026941772550344467,0.011630464345216751,0.0034834370017051697,-0.04490066319704056,-0.029754748567938805,0.013846623711287975
3,7.152815693948779,0.04778459010176348,7.305425470702502,0.05947521865889213,0.035211630165576935,-0.028026709333062172,0.022003237158060074,0.0168744008988142,-0.0640462189912796,-0.01599246636033058,0.035103168338537216,0.008995568379759789,0.00010894922161241993,-0.04518042504787445,-0.030048931017518044,0.010824508965015411
4,7.034181305901169,0.06287002507216147,7.290229980313048,0.06239067055393586,0.012973743490874767,-0.06492984294891357,0.016915183514356613,0.0004141949175391346,-0.06709102541208267,-0.032887961715459824,0.042504917830228806,0.012509852647781372,0.0050737736746668816,-0.045272346585989,-0.05458299070596695,-0.007682193070650101
