arch,width,seed,noise,params
resnet18,0.2,0,0.15,394846
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.9655190121078492,0.28834,1.5747159753799438,0.4235,-0.10877789556980133,-0.12803886830806732,0.01566905714571476,-0.08029516786336899,0.018132517114281654,-0.07045605033636093,-0.008456623181700706,0.04056926071643829,0.014056227169930935,0.044809967279434204,0.023102156817913055,0.00925773847848177,0.023096347227692604,0.018278315663337708,-0.000991813838481903,-0.015077905729413033,-0.015432922169566154
2,1.7650272412109376,0.39426,1.44488279838562,0.4865,-0.08917722851037979,-0.11432266980409622,0.006775751244276762,-0.05412394180893898,0.022149307653307915,-0.041615910828113556,0.008622309193015099,0.04746520146727562,0.021247688680887222,0.05232330784201622,0.04164457321166992,-0.0031575574539601803,-0.002209725556895137,8.38650157675147e-06,-0.0006540898466482759,0.016289079561829567,-0.020251493901014328
3,1.6720541732025147,0.44042,1.330058321762085,0.523,-0.08107810467481613,-0.10855402797460556,0.010307916440069675,-0.048998039215803146,0.026067744940519333,-0.038065940141677856,0.008247565478086472,0.04487546533346176,0.024639751762151718,0.051646046340465546,0.03848432004451752,0.009265254251658916,0.004986998159438372,0.013160341419279575,0.02468164637684822,0.0029874248430132866,-0.05603988841176033
4,1.6086269995498657,0.46968,1.2420307741165162,0.5674,-0.07862268388271332,-0.10493196547031403,0.016837798058986664,-0.04330648109316826,0.02794153429567814,-0.03243697062134743,0.007463462650775909,0.04110869765281677,0.017411381006240845,0.050310272723436356,0.03406669199466705,0.006327978800982237,0.00903833843767643,0.005358473397791386,0.020500339567661285,-0.010475844144821167,-0.057575762271881104
5,1.5590583489990235,0.49392,1.1921118314743042,0.5925,-0.06961780786514282,-0.09601049870252609,0.022717241197824478,-0.03271440416574478,0.01687983050942421,-0.024851564317941666,0.0067156897857785225,0.04728600010275841,0.01877225562930107,0.05634173005819321,0.04418386518955231,0.01602582260966301,0.008430438116192818,0.015177551656961441,0.02791707217693329,-0.013813198544085026,-0.06873989850282669
6,1.5199534799575805,0.51304,1.1269665245056153,0.6183,-0.06872609257698059,-0.09545169770717621,0.020230673253536224,-0.03171331435441971,0.023491617292165756,-0.025040123611688614,0.016420209780335426,0.04785380885004997,0.022593708708882332,0.05555063486099243,0.04723673686385155,-0.005198560655117035,0.01828189007937908,-0.01386011578142643,0.03203791379928589,-0.002047422807663679,-0.07404977083206177
7,1.4800865084838868,0.53062,1.1016085792541503,0.6245,-0.06700297445058823,-0.09603841602802277,0.015392796136438847,-0.01958744414150715,0.02629191428422928,-0.015153392218053341,0.01691422052681446,0.04713451862335205,0.02105640061199665,0.05499900132417679,0.04900278151035309,-0.000521546695381403,0.01957033947110176,-0.009399283677339554,0.03499988839030266,-0.0033655480947345495,-0.06381319463253021
8,1.4523796297836304,0.54284,1.064418687915802,0.6406,-0.05799366533756256,-0.0884198546409607,0.014509652741253376,-0.0158986896276474,0.023409374058246613,-0.011743223294615746,0.015957262367010117,0.05174984037876129,0.020174473524093628,0.06637381762266159,0.06813201308250427,0.004336732439696789,0.010919099673628807,-0.0007990985177457333,0.04380878806114197,-0.017444835975766182,-0.11450745165348053
9,1.425217889328003,0.55418,1.031765224838257,0.6606,-0.05574718862771988,-0.0895269513130188,0.016714034602046013,-0.010830056853592396,0.021850163117051125,-0.008148356340825558,0.016060268506407738,0.05310527980327606,0.01638956367969513,0.06850548833608627,0.06594645977020264,0.00867469422519207,0.011729548685252666,-0.0038464448880404234,0.04458048939704895,-0.021494897082448006,-0.11284033209085464
10,1.4033569974899291,0.56686,1.0299946926116943,0.6598,-0.042392682284116745,-0.08078277856111526,0.015752779319882393,-0.008372326381504536,0.017206856980919838,-0.005989759229123592,0.01571531780064106,0.05100736767053604,0.02016795054078102,0.0680173933506012,0.06066158413887024,0.001744606881402433,0.0196792371571064,-0.004702677484601736,0.04922410100698471,-0.026271969079971313,-0.10392001271247864
