arch,width,seed,noise,params
transformer,200,0,0.0,19590400
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,5.869784658272692,0.2792524046349757,4.496553333048576,0.43333258748769354,-1.4307539463043213,-0.3238925039768219,-0.957625687122345,-0.37443795800209045,-0.703617513179779,-0.4792693257331848,-0.7241225838661194,-0.5244382619857788,-0.5924745798110962,-0.5907078981399536,-0.8598147630691528,-0.6751195788383484
2,4.126904812169257,0.48064554431311235,3.751265933422578,0.5378255616217668,-3.675658702850342,-1.4409148693084717,-3.0683350563049316,-1.5207246541976929,-2.8636820316314697,-2.000059127807617,-2.7531557083129883,-1.4735078811645508,-2.150482177734375,-1.755149245262146,-2.24483060836792,-1.473799228668213
3,3.612288254874081,0.5520475651886381,3.506862747459033,0.5731954264745368,-4.415934085845947,-1.782913088798523,-3.7662124633789062,-1.6584763526916504,-3.365057945251465,-2.7430238723754883,-3.4250638484954834,-2.1337223052978516,-2.853869676589966,-2.028740406036377,-2.7877037525177,-1.9779690504074097
4,3.379581604949417,0.5853632589827102,3.3953840938320647,0.5905643068110624,-4.883471965789795,-1.8464921712875366,-3.7111780643463135,-2.0312116146087646,-3.728492498397827,-2.888774871826172,-3.772167682647705,-2.4360125064849854,-3.2697417736053467,-2.268110990524292,-3.1370930671691895,-2.194096565246582
5,3.233616844479088,0.6073097217594781,3.324740018989335,0.6031504519824578,-5.088404178619385,-1.6932212114334106,-4.0109100341796875,-1.8769038915634155,-3.937408685684204,-3.4045917987823486,-4.062693119049072,-2.1710727214813232,-3.4498939514160156,-2.358095645904541,-3.1955366134643555,-2.047368049621582
6,3.1269741577061603,0.6237607735039182,3.293796161965708,0.6072731137563769,-5.31751012802124,-1.7582142353057861,-4.085660934448242,-1.948822021484375,-3.9941749572753906,-3.3202736377716064,-4.107852935791016,-2.3588201999664307,-3.6445460319519043,-2.5682122707366943,-3.3082222938537598,-2.108376979827881
7,3.045457307001758,0.6368109611692103,3.2739122435430548,0.6129173006354605,-5.516528129577637,-1.7472946643829346,-4.032893180847168,-2.1654469966888428,-4.18342399597168,-3.578162908554077,-4.143251419067383,-2.5385468006134033,-3.596797466278076,-2.5120689868927,-3.3533225059509277,-2.150449275970459
8,2.9762963948903063,0.6482264724181337,3.258335192812425,0.6149814284435693,-5.512120723724365,-1.7896878719329834,-4.367328643798828,-2.168595314025879,-4.154122829437256,-3.5502548217773438,-4.277021408081055,-2.6554603576660156,-3.7547881603240967,-2.6125869750976562,-3.4471359252929688,-2.139704942703247
9,2.9138578941973337,0.6591303881654956,3.2559225169561183,0.6163015752259913,-5.635356426239014,-2.0585696697235107,-4.323853015899658,-2.2276113033294678,-4.35875940322876,-3.578972816467285,-4.357382297515869,-2.7188315391540527,-3.8126561641693115,-2.5883307456970215,-3.58866286277771,-2.1442058086395264
10,2.857724733052197,0.6688220131398164,3.2609666291860036,0.6155184373042155,-5.855871200561523,-2.0478925704956055,-4.292967319488525,-2.488358974456787,-4.514256477355957,-3.6041407585144043,-4.4636759757995605,-2.7473862171173096,-3.954225778579712,-2.646083354949951,-3.648911476135254,-2.1354973316192627
11,2.8075250708760184,0.67816349989121,3.2762774599504847,0.6128110176317909,-5.8755412101745605,-1.8556468486785889,-4.467219352722168,-2.453111171722412,-4.4774675369262695,-3.558377265930176,-4.414953231811523,-2.6433606147766113,-3.8843297958374023,-2.617905855178833,-3.6377406120300293,-2.191032648086548
12,2.7614480179163996,0.6867756018157766,3.2870010814905317,0.6144388257406247,-5.892512798309326,-1.9453623294830322,-4.394570350646973,-2.361053466796875,-4.478664398193359,-3.686166763305664,-4.429068088531494,-2.899244785308838,-3.9246230125427246,-2.6132094860076904,-3.6248364448547363,-2.217654228210449
13,2.720399278348867,0.695041963186484,3.296580582759774,0.6137787523494138,-5.96438455581665,-2.0013561248779297,-4.488257884979248,-2.517000913619995,-4.539714336395264,-3.768376350402832,-4.4853315353393555,-2.910627841949463,-3.9504032135009766,-2.63210391998291,-3.7331578731536865,-2.2612433433532715
14,2.6814556036523847,0.7027110792152129,3.320843109117992,0.6112615233151347,-6.031116008758545,-1.927143931388855,-4.610549449920654,-2.59197998046875,-4.563741207122803,-3.732224464416504,-4.548422336578369,-2.859419822692871,-4.029807090759277,-2.7313013076782227,-3.7069926261901855,-2.1831867694854736
15,2.6458674764654257,0.710220832093435,3.3343162786872047,0.609874250425132,-6.089378833770752,-1.8531018495559692,-4.588123798370361,-2.6378140449523926,-4.604330062866211,-3.6960654258728027,-4.612060546875,-2.9031481742858887,-3.967716693878174,-2.7056872844696045,-3.774285316467285,-2.3095569610595703
16,2.612253039178878,0.7172277848082312,3.353834608128128,0.608201691577911,-6.169780254364014,-1.8671413660049438,-4.598159313201904,-2.5560929775238037,-4.595247268676758,-3.6811909675598145,-4.608137130737305,-2.8951661586761475,-4.09349250793457,-2.6815733909606934,-3.7873928546905518,-2.285696029663086
17,2.580013104945501,0.724164165405129,3.380372484922036,0.6067472925803276,-6.177176475524902,-1.8734426498413086,-4.657205581665039,-2.5608699321746826,-4.69189453125,-3.716858386993408,-4.624935626983643,-2.917726755142212,-4.103735446929932,-2.8148486614227295,-3.824941873550415,-2.291776418685913
18,2.5494090101899087,0.7309619147199826,3.3993402476088486,0.6038105253736686,-6.23386812210083,-1.8753082752227783,-4.637093544006348,-2.621680736541748,-4.708011627197266,-3.77756929397583,-4.673519134521484,-2.887504816055298,-4.118546962738037,-2.6986827850341797,-3.8420403003692627,-2.421262741088867
19,2.5196855574143724,0.7372459744051472,3.424348017713126,0.6017687729347534,-6.287233352661133,-1.865733027458191,-4.708715915679932,-2.6224429607391357,-4.666815757751465,-3.8627243041992188,-4.731888771057129,-2.975135087966919,-4.114223480224609,-2.7873339653015137,-3.8806402683258057,-2.315476417541504
20,2.492253032108755,0.7437855177218734,3.438693723583738,0.6001409648259196,-6.3080034255981445,-1.844899296760559,-4.727010726928711,-2.669560432434082,-4.724729537963867,-3.875783681869507,-4.72736930847168,-3.008312702178955,-4.122680187225342,-2.8147993087768555,-3.9077210426330566,-2.4628303050994873
21,2.4656251096677124,0.7497146226894176,3.4611644168031535,0.5994473283809183,-6.401189804077148,-1.945538878440857,-4.752620220184326,-2.6832966804504395,-4.7786641120910645,-3.8225932121276855,-4.7617573738098145,-2.980069637298584,-4.176697731018066,-2.922072410583496,-3.9460413455963135,-2.4499294757843018
22,2.4403439293023483,0.7558711499716141,3.499808914704032,0.5961413675825651,-6.405014991760254,-1.977985143661499,-4.8039469718933105,-2.725846290588379,-4.7591681480407715,-3.9190518856048584,-4.751817226409912,-3.0569188594818115,-4.180886268615723,-2.9441540241241455,-3.9758286476135254,-2.4804792404174805
23,2.417123861758874,0.7613594409683081,3.5070542592258875,0.5951456636534502,-6.419867992401123,-1.8869913816452026,-4.827415943145752,-2.76627516746521,-4.793686389923096,-3.881821870803833,-4.792333602905273,-3.0329666137695312,-4.214365482330322,-2.923116683959961,-3.996408700942993,-2.5106143951416016
24,2.393802699543661,0.7668973628016251,3.536857474122854,0.593299695694979,-6.490116119384766,-2.028136730194092,-4.880871295928955,-2.6830859184265137,-4.907783031463623,-3.8595941066741943,-4.839968681335449,-3.0789291858673096,-4.246562480926514,-2.9293618202209473,-3.9853200912475586,-2.5352492332458496
25,2.371416518199556,0.7722836697585073,3.5564522503070073,0.5911684417792894,-6.503688335418701,-1.9351308345794678,-4.906061172485352,-2.739853858947754,-4.892126083374023,-3.900379180908203,-4.8189568519592285,-3.098860025405884,-4.244246006011963,-2.934223175048828,-3.983083724975586,-2.64851713180542
26,2.350640752012216,0.7773556480834435,3.580486844880007,0.5897308243086011,-6.544318199157715,-1.9502936601638794,-4.910674095153809,-2.8136489391326904,-4.860622882843018,-3.9286231994628906,-4.828253269195557,-3.0784850120544434,-4.250309944152832,-2.9228153228759766,-4.060075759887695,-2.5818159580230713
27,2.331070435777652,0.7823882567995817,3.5955058453874815,0.588449834422268,-6.601288795471191,-1.9623016119003296,-4.938543319702148,-2.7498412132263184,-4.915538311004639,-3.956676483154297,-4.811762809753418,-3.093578577041626,-4.267101764678955,-2.9801151752471924,-4.043137073516846,-2.6291344165802
28,2.3132658444431367,0.7868615238928501,3.6227742477359226,0.5859829499686745,-6.618659019470215,-1.8784503936767578,-4.874590873718262,-2.655719041824341,-4.9569091796875,-4.02983283996582,-4.826719760894775,-3.0331146717071533,-4.308995246887207,-3.0252039432525635,-4.077276229858398,-2.548879384994507
29,2.295188752523995,0.7912966778541972,3.635411848800148,0.5843495480175422,-6.641458511352539,-1.906667709350586,-4.945888996124268,-2.830526351928711,-4.958281993865967,-4.010166645050049,-4.848598480224609,-3.120945453643799,-4.262925624847412,-2.9608795642852783,-4.056232452392578,-2.573925256729126
30,2.278248559121265,0.7957971686131239,3.6573966235871986,0.5832195918732659,-6.695022106170654,-1.9007551670074463,-4.955806255340576,-2.739711284637451,-4.95703125,-4.108243942260742,-4.8918657302856445,-3.143033266067505,-4.323390960693359,-3.0305404663085938,-4.108681678771973,-2.554508924484253
31,2.2619300011018586,0.8001215431965233,3.6805319790192836,0.5829846504967332,-6.701241493225098,-1.9051599502563477,-5.013940334320068,-2.7699084281921387,-5.0042524337768555,-4.038616180419922,-4.909135341644287,-3.1191565990448,-4.346734046936035,-3.054427146911621,-4.094611167907715,-2.5728189945220947
32,2.2468548960814623,0.8041854082408549,3.705715015946693,0.5813064978072138,-6.713847637176514,-1.8498620986938477,-5.004604339599609,-2.707157850265503,-5.011462211608887,-4.141896724700928,-4.895775318145752,-3.0150983333587646,-4.330459117889404,-3.0035481452941895,-4.123586177825928,-2.5886194705963135
33,2.2330036708243735,0.8078683513787844,3.72976632156715,0.5799919448670903,-6.777770042419434,-1.892863154411316,-5.081833362579346,-2.7768545150756836,-5.0358123779296875,-4.0908637046813965,-4.946673393249512,-3.1453592777252197,-4.354084014892578,-3.0882420539855957,-4.1394734382629395,-2.569722890853882
34,2.2181281884060695,0.8117033282187744,3.754281826179275,0.576585294907366,-6.8075079917907715,-1.9083741903305054,-5.06612491607666,-2.800525665283203,-4.994959354400635,-4.06795072555542,-4.933874130249023,-3.154232978820801,-4.330409049987793,-3.1087517738342285,-4.144129753112793,-2.6905133724212646
35,2.2042065286051287,0.8154218715348723,3.7649778969753274,0.576445448849906,-6.823811054229736,-1.8566827774047852,-5.096149921417236,-2.7693703174591064,-5.049506664276123,-4.060697555541992,-4.909196853637695,-3.0722970962524414,-4.34252405166626,-3.1357345581054688,-4.138430595397949,-2.5908303260803223
36,2.1920933628934436,0.8190068094764323,3.78266580576229,0.5769433008144634,-6.87925910949707,-1.8150161504745483,-5.131290435791016,-2.8241074085235596,-5.068032741546631,-4.092761993408203,-4.950617790222168,-3.145829916000366,-4.363345623016357,-3.0552587509155273,-4.151495933532715,-2.6343538761138916
