arch,width,seed,noise,params
transformer,400,1,0.0,52588800
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,5.628827445532024,0.30820498247528877,4.3206468094038595,0.4603228765774635,-1.937947392463684,-0.8072872757911682,-1.5024464130401611,-0.8070313930511475,-1.3121509552001953,-1.0377577543258667,-1.2717993259429932,-0.9806883335113525,-1.0160810947418213,-1.1033884286880493,-1.4292837381362915,-1.0253082513809204
2,4.012212953102333,0.49533773784321977,3.6670720663075373,0.5470554014141233,-4.809276103973389,-2.553785800933838,-4.732555866241455,-1.9273208379745483,-3.648285388946533,-3.29693603515625,-3.5091867446899414,-2.7017269134521484,-3.146374225616455,-2.5117833614349365,-2.754772186279297,-2.4589788913726807
3,3.5046691632598974,0.5647046850043882,3.4138514646912053,0.5860109191801665,-5.671018123626709,-3.590590476989746,-5.500138282775879,-2.287381172180176,-4.547584533691406,-4.281302452087402,-4.013556480407715,-3.5900044441223145,-3.4403185844421387,-2.891467571258545,-2.8930821418762207,-2.764890670776367
4,3.2569561048398983,0.6003364845075354,3.303846779466209,0.601707240669471,-6.018328666687012,-3.7752785682678223,-5.975805759429932,-2.561248540878296,-4.862612724304199,-4.702319622039795,-4.304303169250488,-3.815525770187378,-3.575672149658203,-3.1871514320373535,-3.0327396392822266,-3.0520431995391846
5,3.0946302469749343,0.6252538868588644,3.219404431724627,0.6170791193054685,-6.317679405212402,-3.8017661571502686,-6.2402191162109375,-2.595935344696045,-4.672654151916504,-4.706427574157715,-4.356307506561279,-3.9362072944641113,-3.922001361846924,-3.2561635971069336,-3.083338975906372,-3.105839490890503
6,2.973031450350446,0.644737236132003,3.188668811685619,0.6233610042065694,-6.527280330657959,-3.8686439990997314,-6.312872886657715,-2.8480446338653564,-4.9995317459106445,-4.990333080291748,-4.495906352996826,-3.9191830158233643,-3.8489909172058105,-3.3488943576812744,-3.1753640174865723,-3.155972480773926
7,2.8691729628383613,0.6620504404265571,3.178635269903586,0.6258782332408485,-6.6460394859313965,-4.105591773986816,-6.523386001586914,-3.0174918174743652,-4.943981647491455,-5.004276275634766,-4.442795276641846,-3.974520683288574,-3.9478635787963867,-3.563917636871338,-3.216887950897217,-3.1320769786834717
8,2.780864381551196,0.6776152571474163,3.1808286567588615,0.6281884901100868,-6.820450782775879,-3.849573850631714,-6.375707626342773,-3.0195934772491455,-5.080628871917725,-5.16621732711792,-4.635988235473633,-4.29152774810791,-4.103018760681152,-3.4224495887756348,-3.244871139526367,-3.218050479888916
9,2.698918755120997,0.692677064292037,3.1831722039918406,0.6282108654792804,-6.918119430541992,-3.844316005706787,-6.440345764160156,-2.624328851699829,-5.058586120605469,-5.334207534790039,-4.584814071655273,-4.324039936065674,-4.060022830963135,-3.4805121421813965,-3.27140736579895,-3.3160126209259033
10,2.623864682653516,0.7074176321818909,3.2013689526779783,0.6268907186968585,-7.010547637939453,-3.945213794708252,-6.562526226043701,-2.9141719341278076,-5.108708381652832,-5.158718109130859,-4.648464202880859,-4.255897521972656,-4.13961124420166,-3.483619213104248,-3.325394630432129,-3.2393221855163574
11,2.553019969978425,0.721731626172162,3.222944488398318,0.6246364002506042,-7.12506628036499,-3.9338502883911133,-6.526803016662598,-2.6314926147460938,-5.0745158195495605,-5.286417484283447,-4.598674774169922,-4.284029006958008,-4.084707736968994,-3.6031839847564697,-3.361454486846924,-3.236142158508301
12,2.4867852220927498,0.735498633895516,3.251215188573737,0.6214087532444286,-7.179930686950684,-4.002603054046631,-6.476343154907227,-3.0859694480895996,-5.088937282562256,-5.124438762664795,-4.699831485748291,-4.416914463043213,-4.081499099731445,-3.543325901031494,-3.4176125526428223,-3.2424933910369873
13,2.42455364229725,0.7494534849119115,3.290689058385134,0.6204633938959992,-7.2944416999816895,-4.074920654296875,-6.567136287689209,-2.939854860305786,-5.093626499176025,-5.182718276977539,-4.713819980621338,-4.332759380340576,-4.119002342224121,-3.5751965045928955,-3.4144623279571533,-3.2544753551483154
14,2.364793284803463,0.7632033207846195,3.3155224944112187,0.6158037232614338,-7.321627140045166,-4.0799760818481445,-6.574481964111328,-3.0066404342651367,-5.2386155128479,-5.367084503173828,-4.7638726234436035,-4.407951831817627,-4.163321018218994,-3.6686668395996094,-3.3960459232330322,-3.212599992752075
15,2.3096060384205495,0.7763720361019313,3.3624251382244545,0.6136780631880426,-7.4369378089904785,-4.133195400238037,-6.600100517272949,-3.1269240379333496,-5.216894626617432,-5.304119110107422,-4.729761600494385,-4.444869041442871,-4.180415630340576,-3.699312925338745,-3.464351177215576,-3.3542027473449707
16,2.2564522257442756,0.7895740480564711,3.394870215445253,0.6127550792088069,-7.504861831665039,-4.051820278167725,-6.565160751342773,-3.00278639793396,-5.199498653411865,-5.3053107261657715,-4.80861234664917,-4.4358625411987305,-4.232985019683838,-3.7057242393493652,-3.482544183731079,-3.3125669956207275
17,2.206911658499378,0.8020676164654593,3.438102510296209,0.6088114203884364,-7.497982978820801,-4.13623046875,-6.540866851806641,-2.985018491744995,-5.1991658210754395,-5.315282344818115,-4.797385215759277,-4.410539627075195,-4.20306396484375,-3.788626194000244,-3.5234336853027344,-3.3429300785064697
18,2.1605292227355206,0.8141503169358215,3.4824265222204605,0.6051698290521793,-7.5972700119018555,-4.08926248550415,-6.595387935638428,-3.0588877201080322,-5.2087297439575195,-5.369311332702637,-4.823973655700684,-4.533932209014893,-4.226938247680664,-3.7071006298065186,-3.5377895832061768,-3.432769536972046
19,2.1174282839287164,0.8257593256237308,3.5234147738153543,0.6023225633222948,-7.671712875366211,-4.188103675842285,-6.590609073638916,-3.1992175579071045,-5.221122741699219,-5.272132873535156,-4.820502281188965,-4.5161614418029785,-4.247140407562256,-3.782623291015625,-3.5244197845458984,-3.4031779766082764
20,2.078385333308316,0.8363484939135213,3.5596737123483684,0.6010359795936633,-7.718406677246094,-4.235816478729248,-6.535910606384277,-3.1087169647216797,-5.219651222229004,-5.319202899932861,-4.8419108390808105,-4.530180931091309,-4.258235931396484,-3.859593152999878,-3.5653910636901855,-3.439242124557495
21,2.041241497202853,0.8468293957791172,3.6036844965429577,0.5981551508099884,-7.753165245056152,-4.255926132202148,-6.519450664520264,-3.3270516395568848,-5.21185302734375,-5.222814083099365,-4.778902530670166,-4.47972297668457,-4.268599510192871,-3.8569514751434326,-3.591360092163086,-3.4893746376037598
22,2.0065605642260707,0.8566305436545091,3.6421144281866664,0.5967734717622841,-7.811648368835449,-4.286012172698975,-6.560740947723389,-3.329618453979492,-5.262344837188721,-5.269031524658203,-4.8275556564331055,-4.493244171142578,-4.281955718994141,-3.7789416313171387,-3.5976853370666504,-3.537393093109131
23,1.9753734640355047,0.8656428334642512,3.6913521477953766,0.5949498791730063,-7.841279029846191,-4.313212871551514,-6.586086750030518,-3.3835902214050293,-5.281130790710449,-5.248275279998779,-4.870704174041748,-4.516012668609619,-4.2725396156311035,-3.8356027603149414,-3.5947370529174805,-3.542339563369751
24,1.9471119668281363,0.873961129212522,3.723817858787314,0.592315179450461,-7.8791704177856445,-4.268950462341309,-6.648295879364014,-3.3990492820739746,-5.298964977264404,-5.236475467681885,-4.8727617263793945,-4.469822406768799,-4.312464237213135,-3.830688953399658,-3.6301586627960205,-3.4852490425109863
25,1.9212096947319013,0.8817540082135893,3.758386550881459,0.590967063456547,-7.917940616607666,-4.280815124511719,-6.658107757568359,-3.4778943061828613,-5.310775279998779,-5.199800491333008,-4.8795671463012695,-4.521500587463379,-4.292389869689941,-3.8786959648132324,-3.610596179962158,-3.5451347827911377
26,1.8966985652011175,0.8890040892039947,3.795607092295595,0.5886232435335182,-7.963315963745117,-4.233011245727539,-6.606866359710693,-3.4448912143707275,-5.318990230560303,-5.2300004959106445,-4.916930198669434,-4.510898590087891,-4.31676721572876,-3.9003682136535645,-3.6525282859802246,-3.63639497756958
27,1.8754770600176243,0.8955436325207209,3.8162114397991656,0.588309988364808,-8.014998435974121,-4.296780586242676,-6.637269973754883,-3.5671026706695557,-5.319046497344971,-5.235477447509766,-4.920030117034912,-4.529195308685303,-4.351616859436035,-3.904188871383667,-3.644218683242798,-3.6451938152313232
28,1.8553857907168558,0.9014936787695406,3.863240334310773,0.584908932247382,-8.052870750427246,-4.280703544616699,-6.6702141761779785,-3.4215164184570312,-5.346680641174316,-5.330783367156982,-4.897452354431152,-4.516164779663086,-4.392980098724365,-3.8490447998046875,-3.671185255050659,-3.5899693965911865
29,1.8381057389620032,0.9068831269186141,3.888914142262431,0.5832419672424595,-8.065614700317383,-4.23724365234375,-6.689183235168457,-3.5376691818237305,-5.343896865844727,-5.334934711456299,-4.899070739746094,-4.5373759269714355,-4.354144096374512,-3.9329073429107666,-3.647252321243286,-3.589200496673584
