arch,width,seed,noise,params
transformer,400,0,0.0,52588800
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,7.161200198653257,0.050817579032919065,7.137183367963295,0.04866642799606193,-0.19523265957832336,-0.0012556605506688356,-0.07272899895906448,0.03534618020057678,-0.11174493283033371,-0.0531085729598999,-0.1400236338376999,-0.05649697035551071,-0.09685277193784714,-0.09686887264251709,0.10676360875368118,-0.12818215787410736
2,7.139282811195404,0.05108248624105467,7.134315041151169,0.04866642799606193,-0.1952160894870758,-0.004795705433934927,-0.07271572202444077,0.03342244401574135,-0.11157456040382385,-0.05086697265505791,-0.1399993598461151,-0.051200415939092636,-0.09785296767950058,-0.06815366446971893,0.1346992701292038,-0.08726970851421356
3,7.137043902729001,0.05108248624105467,7.133426159492252,0.04866642799606193,-0.1952502280473709,-0.008189579471945763,-0.07267369329929352,0.03090023808181286,-0.11128142476081848,-0.05002578720450401,-0.14051660895347595,-0.04821285605430603,-0.09856829047203064,-0.030710212886333466,0.17726966738700867,-0.0779910609126091
4,7.135931483726539,0.05106280143665566,7.132772372371879,0.04866642799606193,-0.19526955485343933,-0.009457284584641457,-0.07250645011663437,0.029109016060829163,-0.1110023558139801,-0.05132341384887695,-0.142948716878891,-0.04813934862613678,-0.09671612083911896,0.021601811051368713,0.2540454864501953,-0.08978548645973206
5,7.135207492502175,0.05108248624105467,7.13272789077463,0.04866642799606193,-0.19527433812618256,-0.011606833897531033,-0.07235927134752274,0.02836715430021286,-0.11084584146738052,-0.047933343797922134,-0.14598292112350464,-0.04601062089204788,-0.10033772885799408,0.06942671537399292,0.3258771300315857,-0.07014381885528564
6,7.134771816047471,0.05108248624105467,7.131187094073581,0.04866642799606193,-0.19527460634708405,-0.012559791095554829,-0.07233105599880219,0.026331204921007156,-0.11086218059062958,-0.05072036385536194,-0.14764083921909332,-0.04801045358181,-0.09781026840209961,0.10329314321279526,0.40476495027542114,-0.07331147789955139
7,7.134402189997914,0.05108248624105467,7.131279060204816,0.04866642799606193,-0.19527111947536469,-0.01194937713444233,-0.07236012071371078,0.026265403255820274,-0.11093313992023468,-0.053166378289461136,-0.1478438526391983,-0.05053979158401489,-0.09249415993690491,0.11691177636384964,0.4440789520740509,-0.08759880810976028
8,7.134115955485511,0.05108248624105467,7.131703880966206,0.04866642799606193,-0.1952698826789856,-0.01264417078346014,-0.07234041392803192,0.026490818709135056,-0.11094336956739426,-0.050908010452985764,-0.1483936905860901,-0.049438104033470154,-0.09275465458631516,0.13758546113967896,0.4865717887878418,-0.08911596983671188
9,7.13388298241612,0.05108248624105467,7.130533186183517,0.04866642799606193,-0.19527117908000946,-0.012797903269529343,-0.07233818620443344,0.025489769876003265,-0.11097520589828491,-0.0527091845870018,-0.1484312117099762,-0.051798153668642044,-0.08926138281822205,0.14553715288639069,0.5114305019378662,-0.10059332102537155
10,7.133723947359253,0.05108248624105467,7.131837787060455,0.04866642799606193,-0.19527125358581543,-0.014296453446149826,-0.07234138995409012,0.026009010151028633,-0.11099778115749359,-0.0507977157831192,-0.14805519580841064,-0.05050479620695114,-0.08895870298147202,0.15245650708675385,0.49032166600227356,-0.10650908201932907
