arch,width,seed,noise,params
transformer,104,0,0.0,8525056
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11
1,9.494378641317134,0.04005225122727177,8.586134233280104,0.04664723032069971,0.03519432991743088,-0.03793494030833244,0.030437439680099487,0.016369445249438286,-0.05307849124073982,-0.00513297226279974,0.025562625378370285,0.016237180680036545,0.011797416023910046,-0.04390149563550949,-0.020365631207823753,0.012302694842219353
2,7.852460744325042,0.0434232981480311,7.55652795713775,0.04664723032069971,0.03406475856900215,-0.038148313760757446,0.026240581646561623,0.018097685649991035,-0.06200198456645012,-0.010681075975298882,0.026941772550344467,0.011630464345216751,0.0034834370017051697,-0.04490066319704056,-0.029754748567938805,0.013846623711287975
3,7.152815693948779,0.04778459010176348,7.305425470702502,0.05947521865889213,0.035211630165576935,-0.028026709333062172,0.022003237158060074,0.0168744008988142,-0.0640462189912796,-0.01599246636033058,0.035103168338537216,0.008995568379759789,0.00010894922161241993,-0.04518042504787445,-0.030048931017518044,0.010824508965015411
4,7.034181305901169,0.06287002507216147,7.290229980313048,0.06239067055393586,0.012973743490874767,-0.06492984294891357,0.016915183514356613,0.0004141949175391346,-0.06709102541208267,-0.032887961715459824,0.042504917830228806,0.012509852647781372,0.0050737736746668816,-0.045272346585989,-0.05458299070596695,-0.007682193070650101
5,7.011859193416938,0.0795356382866654,7.256030431085703,0.09854227405247813,-0.010351857170462608,-0.09155269712209702,-0.017586341127753258,-0.04624117165803909,-0.10829806327819824,-0.04789475351572037,0.0007482101209461689,-0.02279624156653881,-0.02872125431895256,-0.0033063944429159164,-0.05699346587061882,-0.01783539354801178
6,6.932226635564196,0.10991719866000885,7.122701714963329,0.11545189504373178,-0.0360858216881752,-0.11842016875743866,-0.0467296801507473,-0.05883768945932388,-0.1330987960100174,-0.07148085534572601,-0.027644461020827293,-0.050458915531635284,-0.03248285502195358,-0.02167912945151329,-0.05336027219891548,-0.06819459795951843
7,6.782424572618592,0.1310494490445189,6.978445469603247,0.13935860058309038,-0.0412958599627018,-0.12498486042022705,-0.05657903477549553,-0.061380885541439056,-0.15515325963497162,-0.08675850927829742,-0.03562452644109726,-0.05578501150012016,-0.042073171585798264,-0.0479157492518425,-0.06695891916751862,-0.08273734152317047
8,6.621643523592449,0.1482207192971367,6.848550527922961,0.1521865889212828,-0.05238271877169609,-0.12622112035751343,-0.054353415966033936,-0.06172499805688858,-0.16189058125019073,-0.10119353234767914,-0.048080623149871826,-0.062201641499996185,-0.04562963917851448,-0.07093885540962219,-0.08136248588562012,-0.104630246758461
9,6.504201667140981,0.16014579777932283,6.812257887392628,0.14052478134110788,-0.06761706620454788,-0.1249203309416771,-0.059809647500514984,-0.07251691818237305,-0.1702290028333664,-0.12934523820877075,-0.054952096194028854,-0.06404601782560349,-0.04145168140530586,-0.0691375881433487,-0.07439027726650238,-0.13257165253162384
10,6.4067850970685445,0.16751996291848387,6.815759806730309,0.15043731778425656,-0.08754874765872955,-0.15084920823574066,-0.05872383713722229,-0.08958127349615097,-0.19134703278541565,-0.17084039747714996,-0.05655401200056076,-0.05534785985946655,-0.035186901688575745,-0.07954175770282745,-0.10055279731750488,-0.1317019909620285
11,6.320560684894899,0.17375639972188864,6.6448917525155204,0.16384839650145772,-0.09317326545715332,-0.14381946623325348,-0.059027086943387985,-0.08132752776145935,-0.1926838457584381,-0.17773093283176422,-0.0629526674747467,-0.07346659898757935,-0.04945901781320572,-0.07767273485660553,-0.08812128752470016,-0.1290518194437027
12,6.195256892135306,0.1841434380464783,6.589775490274235,0.1673469387755102,-0.1096450686454773,-0.17481932044029236,-0.09691555052995682,-0.0909913033246994,-0.21409185230731964,-0.19269998371601105,-0.07234927266836166,-0.07487545907497406,-0.07454071193933487,-0.09685039520263672,-0.09114601463079453,-0.13393762707710266
