arch,width,seed,noise,params
basenet18,12,2,0.25,388966
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.3985977172851562,0.1015625,2.3032224174499514,0.0997,-0.1529264599084854,0.0073799192905426025,0.0063462406396865845,0.0002759357448667288,0.015494456514716148,-0.011138463392853737,-0.0027290640864521265,0.002508675679564476,0.0010949809802696109,0.0011263906490057707,0.001155272126197815,-0.0035028953570872545,0.008524416014552116,-0.0008849316509440541,-0.00042547902557998896,-0.0007185397553257644,0.0018699289066717029
1000,2.070549488067627,0.21875,1.7077936019897462,0.4009,0.028261275961995125,0.021934233605861664,0.04865795373916626,0.025182217359542847,-0.004310919437557459,-0.008691664785146713,-0.020712191238999367,-0.004225630778819323,0.002135773655027151,0.03548892214894295,0.014117041602730751,-0.019681936129927635,0.025379672646522522,0.004279597662389278,0.008135299198329449,0.007675139233469963,-0.00026295799762010574
2000,1.8074513673782349,0.3828125,1.488171490097046,0.4922,0.06079621613025665,0.06545504927635193,0.04352598637342453,0.021702582016587257,0.006685188040137291,7.058095798129216e-05,-0.0005169890355318785,0.0016752039082348347,0.02365216426551342,0.022245367988944054,0.009061000309884548,0.018795965239405632,0.020195679739117622,-0.004381136503070593,0.0017647880595177412,-0.004218555521219969,-0.0022066282108426094
3000,1.7492706775665283,0.3984375,1.4523098903656007,0.5059,-0.04417308419942856,0.1465354710817337,0.03154106065630913,0.007617725525051355,0.02570066601037979,0.013612698763608932,-0.021666375920176506,0.007748806849122047,0.05949736386537552,0.04343864321708679,0.018287193030118942,-0.003967109136283398,-0.009840711951255798,-0.010820376686751842,-0.01593317650258541,-0.009387020952999592,-0.009023613296449184
4000,1.8104900121688843,0.4296875,1.3376145057678224,0.5621,0.05695352330803871,0.04111502319574356,0.0036956188268959522,0.05573554337024689,0.03522230684757233,0.02060289867222309,0.004506239201873541,0.005472228862345219,0.039292749017477036,0.02546071447432041,0.01956937089562416,0.012096559628844261,0.0175540279597044,-0.002631571376696229,-0.000746541190892458,-0.007696604356169701,-0.00995665229856968
5000,1.8155269622802734,0.390625,1.249242847633362,0.6016,0.04810701310634613,0.05497686564922333,0.022117096930742264,0.038536038249731064,0.024286530911922455,0.02798796445131302,0.017805472016334534,0.02856345847249031,0.042564909905195236,0.02584397979080677,0.01637035608291626,0.01248880010098219,0.019760463386774063,0.011019272729754448,-0.0009346770821139216,-0.016439948230981827,-0.019461650401353836
6000,1.6236858367919922,0.5078125,1.181546590232849,0.6341,0.061059556901454926,0.05803757905960083,0.02820407599210739,0.003365736221894622,0.037695225328207016,0.029379425570368767,0.02528277225792408,0.029199514538049698,0.04098358377814293,0.04044213891029358,0.02396606281399727,0.00991768017411232,0.02002892456948757,-0.0029565116856247187,-0.0033886346500366926,-0.017033152282238007,-0.012630610726773739
7000,1.6295734643936157,0.5078125,1.1202208806991578,0.6584,0.07758993655443192,0.05960612744092941,0.05349352955818176,0.041289255023002625,0.033037614077329636,0.030562497675418854,0.026179058477282524,0.01917327754199505,0.048826899379491806,0.02097155898809433,0.016861669719219208,0.017421413213014603,0.018966782838106155,0.007316251751035452,-0.002857949584722519,-0.050145164132118225,-0.03586599603295326
8000,1.7591990232467651,0.4921875,1.0627994888305663,0.6822,0.05150012671947479,0.08664077520370483,0.040050726383924484,0.03119259513914585,0.06823086738586426,0.04923522099852562,0.023959342390298843,0.034928590059280396,0.0662398487329483,0.033978935331106186,0.007249701302498579,0.01515684463083744,0.011374182999134064,0.007449103519320488,-0.01015143096446991,-0.024819761514663696,-0.025517646223306656
9000,1.460329294204712,0.5703125,1.014702476501465,0.7019,0.056202538311481476,0.09079139679670334,0.0432993583381176,0.031107719987630844,0.06654685735702515,0.048014797270298004,0.033517736941576004,0.03659762069582939,0.06934092193841934,0.03317685425281525,0.01228043157607317,0.015492401085793972,0.020529506728053093,0.008044603280723095,-0.00918882992118597,-0.03574557974934578,-0.020449522882699966
