arch,width,seed,noise,params
basenet18,4,3,0,43838
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.42814040184021,0.0625,2.302654797363281,0.0999,-0.16487163305282593,-0.048442862927913666,-0.08738017827272415,-0.06625235825777054,0.04235726222395897,-0.02489413321018219,0.0028963147196918726,0.0021857330575585365,0.023487521335482597,-0.005847311578691006,0.002710291650146246,0.0017506364965811372,5.420971501735039e-05,0.0038689011707901955,0.003904987359419465,0.004349386785179377,0.004187019541859627
1000,1.8854022026062012,0.3046875,1.7298586242675782,0.3577,0.0911310613155365,0.0037056906148791313,0.04317203164100647,0.09049084782600403,0.10309648513793945,-0.027668442577123642,0.018606822937726974,0.020090585574507713,0.031064562499523163,0.013399363495409489,0.017407502979040146,-0.03971860557794571,0.01385238952934742,0.04073689877986908,0.01687067188322544,0.01586947776377201,0.02000252529978752
2000,1.6358895301818848,0.4296875,1.5745768400192262,0.4284,0.07751458883285522,0.13603703677654266,0.0847228616476059,0.1481589525938034,0.1762937605381012,-0.004066737834364176,0.06324855238199234,0.011991959065198898,0.1108090877532959,0.04709376022219658,-0.02297240123152733,-0.0784962847828865,0.024893859401345253,0.012204513885080814,0.019367162138223648,0.003990590572357178,0.06305132061243057
3000,1.460379958152771,0.5078125,1.4423697929382324,0.4652,0.07601230591535568,0.05655796825885773,0.14386075735092163,0.08044993877410889,0.1283155083656311,0.04680493474006653,0.07736508548259735,0.02042797952890396,0.06997792422771454,0.05389934405684471,0.06279486417770386,0.06829805672168732,0.06168493255972862,0.032866816967725754,0.02150598168373108,0.001251884619705379,0.07236086577177048
4000,1.4340459108352661,0.4609375,1.3520746047973633,0.5096,0.14617010951042175,0.1387384831905365,0.1353166550397873,0.030282670632004738,0.15314355492591858,0.02286710776388645,0.08332198113203049,0.030329208821058273,0.10000097006559372,0.0671238899230957,0.07378704845905304,0.08669962733983994,0.056726761162281036,0.050814948976039886,0.0027853199280798435,0.017541304230690002,0.10091319680213928
5000,1.350990653038025,0.5078125,1.2813134666442871,0.535,0.21915756165981293,0.17457184195518494,0.14916524291038513,0.052514247596263885,0.15818478167057037,0.009495418518781662,0.09152417629957199,0.0649745911359787,0.1529144048690796,0.08676572144031525,0.08615902811288834,0.0625050887465477,0.08793710917234421,0.040718283504247665,0.003911738749593496,-0.008500367403030396,0.11713562160730362
6000,1.3324366807937622,0.5390625,1.2299973701477052,0.5492,0.19898992776870728,0.28489795327186584,0.14518782496452332,0.0706186518073082,0.14383383095264435,0.03179531544446945,0.0941987857222557,0.09680134057998657,0.19563110172748566,0.09634620696306229,0.09777354449033737,0.05990583077073097,0.10476618260145187,0.03370688855648041,0.012473325245082378,-0.02202620729804039,0.14187091588974
7000,1.2400490045547485,0.53125,1.1733736822128296,0.577,0.2474086433649063,0.3298124670982361,0.16253703832626343,0.10553554445505142,0.15882594883441925,0.07026088982820511,0.11897867918014526,0.11953224986791611,0.22472159564495087,0.11345966160297394,0.10981910675764084,0.09402622282505035,0.11427134275436401,0.04545218124985695,-0.013885586522519588,-0.020042812451720238,0.1505001038312912
8000,1.1733359098434448,0.6171875,1.1256005201339723,0.5956,0.24185550212860107,0.43800511956214905,0.21285365521907806,0.16391874849796295,0.20604640245437622,0.10336202383041382,0.1509610265493393,0.18174012005329132,0.22906231880187988,0.12718571722507477,0.14724348485469818,0.1430564820766449,0.15423403680324554,0.0543024018406868,-0.01155074406415224,-0.009061671793460846,0.15626388788223267
9000,1.0020142793655396,0.609375,1.063968179321289,0.6143,0.2734990119934082,0.4518592655658722,0.2178112268447876,0.1916932463645935,0.2474982887506485,0.11964921653270721,0.1716991364955902,0.21199990808963776,0.2919924259185791,0.129646897315979,0.1508859097957611,0.10629767924547195,0.15277984738349915,0.05456645041704178,-0.0038572093471884727,-0.02446933090686798,0.17070630192756653
10000,0.8585904836654663,0.6875,1.0405600296020507,0.6264,0.3102073073387146,0.5397981405258179,0.2676837742328644,0.22560247778892517,0.27490776777267456,0.1477387249469757,0.1682799905538559,0.222520649433136,0.328745037317276,0.1404312252998352,0.13656209409236908,0.10933329164981842,0.16914550960063934,0.0479293055832386,0.00476310309022665,-0.006864986382424831,0.18158484995365143
11000,1.1835049390792847,0.578125,1.0125011253356933,0.6362,0.33135586977005005,0.524292528629303,0.26980969309806824,0.26717567443847656,0.2774897515773773,0.1534661054611206,0.19312582910060883,0.25664326548576355,0.36221227049827576,0.14764417707920074,0.1515568494796753,0.142640620470047,0.20196804404258728,0.05959244444966316,-0.010395141318440437,-0.025189543142914772,0.20016580820083618
12000,0.7322999238967896,0.734375,0.9746998141288757,0.6523,0.3443067967891693,0.5698912143707275,0.3288763165473938,0.2642551362514496,0.29598161578178406,0.19885119795799255,0.21632948517799377,0.23807331919670105,0.38055452704429626,0.13897638022899628,0.17314042150974274,0.16878503561019897,0.1938418447971344,0.07077106088399887,-0.008466151542961597,-0.023126382380723953,0.1981762796640396
13000,0.9508131742477417,0.6640625,0.9822946464538574,0.6494,0.34574028849601746,0.5074958801269531,0.2652474641799927,0.27405858039855957,0.34098488092422485,0.21960361301898956,0.22950802743434906,0.26766279339790344,0.38739800453186035,0.1510237455368042,0.15980559587478638,0.16977620124816895,0.21907222270965576,0.07696403563022614,-0.010398698970675468,-0.020526351407170296,0.2127038836479187
14000,0.9596235752105713,0.6328125,0.9373630157470703,0.6652,0.39197489619255066,0.551750898361206,0.3162877559661865,0.300322949886322,0.3608953654766083,0.2287781536579132,0.2464020848274231,0.26081767678260803,0.4195421040058136,0.1470949947834015,0.18729397654533386,0.17278797924518585,0.2342129647731781,0.08250291645526886,-0.007749170530587435,-0.035168495029211044,0.2075364589691162
15000,0.9533580541610718,0.671875,0.9097511357307434,0.6797,0.33420997858047485,0.5779138207435608,0.36255183815956116,0.3385927677154541,0.36194324493408203,0.24870020151138306,0.22117140889167786,0.2797369956970215,0.446597158908844,0.15663228929042816,0.18965855240821838,0.17213329672813416,0.2443549633026123,0.08685217052698135,0.009532930329442024,-0.04550807923078537,0.2302236109972
16000,1.0164960622787476,0.6484375,0.9060369359016418,0.6826,0.4199312627315521,0.5708842277526855,0.3852766752243042,0.34207749366760254,0.37935322523117065,0.26365551352500916,0.2588580846786499,0.28067129850387573,0.46837350726127625,0.15882357954978943,0.19527742266654968,0.19409291446208954,0.24939113855361938,0.09575016796588898,-0.01327529177069664,-0.030577048659324646,0.2209264189004898
