arch,width,seed,noise,params
basenet18,4,0,0.15,11000138
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.9376223035430908,0.30822,1.5114487556457519,0.4613,0.0021146920043975115,-0.013543782755732536,0.029632756486535072,0.01726910099387169,0.018163276836276054,0.0035839430056512356,-0.01598222926259041,-0.014562102034687996,-0.011029306799173355,-0.0010297594126313925,-0.02712790109217167,-0.0558890774846077,-0.0433119535446167,-0.047707535326480865,-0.05458344519138336,-0.06571272760629654,-0.08039222657680511
2,1.682141337928772,0.43928,1.453751655960083,0.5027,-0.007400568574666977,-0.01323641650378704,0.020406898111104965,-0.017428379505872726,0.01798541471362114,0.01663593016564846,0.0025574772153049707,0.015256400220096111,-0.0016801885794848204,0.02276751771569252,-0.09861206263303757,-0.09982074797153473,-0.0328025296330452,0.03154134377837181,-0.10680440813302994,-0.06133478134870529,-0.13988909125328064
3,1.5041247356796266,0.5265,1.101744980621338,0.6409,0.0072587039321660995,0.011383483186364174,0.042883992195129395,-0.04261019080877304,-0.024836426600813866,-0.006662748754024506,-0.05762096494436264,-0.022613363340497017,-0.01678677834570408,-0.06337206065654755,-0.10842490196228027,-0.08373824506998062,-0.046408962458372116,-0.011717550456523895,-0.09290465712547302,-0.08657776564359665,-0.14936383068561554
4,1.39057850025177,0.58304,1.4243947650909423,0.5414,0.013898007571697235,-0.006046368274837732,0.054643530398607254,-0.0695846900343895,-0.08094949275255203,-0.03366798162460327,-0.10695290565490723,-0.0689961388707161,-0.10093338042497635,-0.038475751876831055,-0.12760213017463684,-0.10151302069425583,-0.0066199954599142075,0.01742827519774437,-0.048051804304122925,0.018873175606131554,-0.4795706570148468
5,1.3066364519500733,0.62304,0.9779366201400757,0.696,-0.0389593243598938,-0.0408194325864315,0.07913263142108917,-0.18109352886676788,-0.05744067206978798,-0.09303553402423859,-0.1456485390663147,-0.1264241337776184,-0.1209794133901596,-0.11086122691631317,-0.16551104187965393,-0.13184863328933716,-0.05915151163935661,-0.03463398665189743,-0.08805923163890839,-0.10573717951774597,-0.2000608742237091
6,1.2478451699066162,0.64548,1.0508094738006593,0.6555,-0.04257313162088394,0.008969815447926521,0.0810202956199646,-0.1276402324438095,-0.07738188654184341,-0.08773523569107056,-0.19575899839401245,-0.17412085831165314,-0.1196359321475029,-0.12604929506778717,-0.30155491828918457,-0.21453921496868134,-0.1246875673532486,-0.03850553557276726,-0.1097075417637825,-0.12246697396039963,-0.43925678730010986
7,1.203840354232788,0.66366,0.8676717295646668,0.7325,-0.07789689302444458,0.020567964762449265,0.11657264083623886,-0.2285766303539276,-0.11544618755578995,-0.09912940859794617,-0.282001793384552,-0.23388046026229858,-0.19106319546699524,-0.18147768080234528,-0.3015517592430115,-0.26844125986099243,-0.18934082984924316,-0.11111560463905334,-0.15279452502727509,-0.19697293639183044,-0.2372368574142456
8,1.1680568939971925,0.67762,0.7193018434524536,0.7867,0.029602330178022385,0.01691511645913124,0.07762186974287033,-0.18902486562728882,-0.14261667430400848,-0.13703376054763794,-0.291055828332901,-0.24697306752204895,-0.16943222284317017,-0.20877619087696075,-0.35637736320495605,-0.3164792060852051,-0.15923920273780823,-0.10601096600294113,-0.19413332641124725,-0.21093188226222992,-0.30337807536125183
9,1.1403303136062621,0.68992,0.803790453529358,0.7569,0.05703321844339371,-0.04353409260511398,0.18921945989131927,-0.24110476672649384,-0.11144864559173584,-0.17144542932510376,-0.31214848160743713,-0.3070964515209198,-0.2611525058746338,-0.24693848192691803,-0.3994917571544647,-0.38299673795700073,-0.21500630676746368,-0.12851428985595703,-0.1897038221359253,-0.17832212150096893,-0.38753315806388855
10,1.1155897579956056,0.69936,0.9495027544021607,0.711,0.0427328459918499,0.03943896293640137,0.15972572565078735,-0.2792564034461975,-0.12621957063674927,-0.13350729644298553,-0.3931400775909424,-0.33887261152267456,-0.23401537537574768,-0.30865681171417236,-0.5465749502182007,-0.41754820942878723,-0.2509101331233978,-0.08645502477884293,-0.2883051633834839,-0.2087842971086502,-0.517367422580719
11,1.0889220097732544,0.71082,0.7264136619567871,0.7805,0.028003228828310966,0.010194857604801655,0.18040844798088074,-0.256876677274704,-0.1389651745557785,-0.1734221875667572,-0.37932974100112915,-0.3727043867111206,-0.28136593103408813,-0.31654679775238037,-0.5333674550056458,-0.4521941542625427,-0.30834993720054626,-0.09708298742771149,-0.22420275211334229,-0.204603910446167,-0.4183134138584137
12,1.0519907728958129,0.72658,0.6399304300308227,0.8173,0.07396998256444931,0.013474990613758564,0.16903316974639893,-0.24374936521053314,-0.1450885385274887,-0.18198269605636597,-0.3861638605594635,-0.39771944284439087,-0.2875101566314697,-0.3836052715778351,-0.5702202916145325,-0.4655686616897583,-0.2788252532482147,-0.10796548426151276,-0.23974686861038208,-0.22776108980178833,-0.4729292690753937
13,1.0172600435256958,0.73896,0.6015832870483399,0.8331,0.043549858033657074,0.03637685626745224,0.16308043897151947,-0.25533396005630493,-0.15670987963676453,-0.1875929832458496,-0.4271940588951111,-0.41645359992980957,-0.31191331148147583,-0.3852710425853729,-0.6001043319702148,-0.5302610397338867,-0.31160208582878113,-0.11006822437047958,-0.24216583371162415,-0.25792208313941956,-0.4469178318977356
14,0.9896854523849488,0.74962,0.5913589966773987,0.8351,0.12294872850179672,-0.012123823165893555,0.16406427323818207,-0.26795583963394165,-0.16555678844451904,-0.19346983730793,-0.44007205963134766,-0.4465561807155609,-0.3306959867477417,-0.40777555108070374,-0.6141023635864258,-0.5415738821029663,-0.27852705121040344,-0.10657690465450287,-0.2728048861026764,-0.22201794385910034,-0.48228245973587036
15,0.969997488975525,0.75752,0.5807479545593262,0.837,0.1155519038438797,-0.008635472506284714,0.13599374890327454,-0.27957937121391296,-0.15444931387901306,-0.20228059589862823,-0.47543734312057495,-0.4704630970954895,-0.35589808225631714,-0.4102439880371094,-0.6567933559417725,-0.5823236107826233,-0.3278646171092987,-0.13172216713428497,-0.26065728068351746,-0.24613900482654572,-0.5213112831115723
16,0.9461223403930664,0.76448,0.5563532028198243,0.8592,0.07326793670654297,-0.01834902912378311,0.15013885498046875,-0.2646167278289795,-0.15394501388072968,-0.23178578913211823,-0.4888460338115692,-0.46133673191070557,-0.33853018283843994,-0.41519129276275635,-0.6565626263618469,-0.5596805810928345,-0.32658815383911133,-0.1231679692864418,-0.3157309889793396,-0.2637315094470978,-0.5270794630050659
17,0.9257995981597901,0.77256,0.5368270570755005,0.8644,0.06886766850948334,-0.019778862595558167,0.19305945932865143,-0.2732618451118469,-0.17060403525829315,-0.2386498600244522,-0.5240873098373413,-0.4821643531322479,-0.3789821267127991,-0.43941208720207214,-0.7290602922439575,-0.6306840181350708,-0.39887136220932007,-0.15368527173995972,-0.30383583903312683,-0.2657056152820587,-0.5277801156044006
18,0.9082131938552856,0.77982,0.544070895910263,0.8493,0.04447215050458908,0.01747743785381317,0.1751542091369629,-0.2808157801628113,-0.16638264060020447,-0.2393455058336258,-0.5245417356491089,-0.5041894912719727,-0.37884730100631714,-0.4476289749145508,-0.7044078707695007,-0.6480593085289001,-0.3643442690372467,-0.13887731730937958,-0.3315187096595764,-0.22138065099716187,-0.5039060711860657
19,0.8906768513298035,0.78518,0.516770331287384,0.8665,0.031014621257781982,0.05660562962293625,0.15187108516693115,-0.27418869733810425,-0.18103653192520142,-0.2419351488351822,-0.5249925255775452,-0.48607292771339417,-0.37955769896507263,-0.4492984414100647,-0.7268638610839844,-0.660573422908783,-0.38561567664146423,-0.17681850492954254,-0.2999659776687622,-0.28644174337387085,-0.5062868595123291
20,0.8713968822097778,0.79192,0.48105579662323,0.8779,0.06476742029190063,-0.04751838743686676,0.1718069314956665,-0.2896824777126312,-0.19915150105953217,-0.23052643239498138,-0.5468018651008606,-0.4993461072444916,-0.40729179978370667,-0.4599144458770752,-0.745932400226593,-0.6681057810783386,-0.39512109756469727,-0.19914913177490234,-0.3296247720718384,-0.2618456184864044,-0.5101316571235657
21,0.8548424530029297,0.79762,0.474263809633255,0.8773,0.0718725323677063,-0.01048306841403246,0.14856769144535065,-0.2934216260910034,-0.17920556664466858,-0.2447572499513626,-0.565131664276123,-0.5397738218307495,-0.4257888197898865,-0.4785371720790863,-0.7771164774894714,-0.696448028087616,-0.4768180549144745,-0.18775399029254913,-0.3662434220314026,-0.2669312357902527,-0.521613359451294
22,0.8447165390968323,0.80184,0.4854460713863373,0.8762,0.06782816350460052,0.00827074609696865,0.1334063708782196,-0.3029392957687378,-0.19709739089012146,-0.2635035514831543,-0.553983747959137,-0.5365610122680664,-0.43003618717193604,-0.4831950068473816,-0.7766345739364624,-0.738158643245697,-0.4532233476638794,-0.2494877725839615,-0.3425760567188263,-0.2923988103866577,-0.5187029242515564
23,0.8242151381111145,0.80768,0.46998556563854216,0.8766,0.10147970914840698,-0.02314705401659012,0.12338021397590637,-0.29351353645324707,-0.1822020262479782,-0.268846333026886,-0.5562689304351807,-0.5635574460029602,-0.42814406752586365,-0.5032346248626709,-0.8217906355857849,-0.760826587677002,-0.46503743529319763,-0.21758168935775757,-0.36945998668670654,-0.3077307343482971,-0.5384495854377747
24,0.8161055857849121,0.809,0.4733408406257629,0.8778,0.07686688005924225,-0.03563367947936058,0.14225779473781586,-0.30466151237487793,-0.20118804275989532,-0.2815301716327667,-0.586559534072876,-0.5610920190811157,-0.4412614107131958,-0.5266226530075073,-0.8011350631713867,-0.7795325517654419,-0.47992098331451416,-0.23686763644218445,-0.3769571781158447,-0.2992269694805145,-0.5308237671852112
25,0.7972493727493286,0.81518,0.45317073273658753,0.8833,0.07399271428585052,0.023532278835773468,0.08327627927064896,-0.30713018774986267,-0.21822623908519745,-0.25633013248443604,-0.5977954268455505,-0.5843919515609741,-0.4396515488624573,-0.5434221029281616,-0.8255472779273987,-0.7918230295181274,-0.4875723123550415,-0.2174123227596283,-0.3921116292476654,-0.31834182143211365,-0.5404401421546936
26,0.7822464403533935,0.82076,0.46518491411209106,0.8834,0.051360324025154114,-0.03280818462371826,0.16711890697479248,-0.330079048871994,-0.2092098444700241,-0.2754979729652405,-0.6070071458816528,-0.5927008390426636,-0.4599343538284302,-0.5453113317489624,-0.8525481224060059,-0.814920961856842,-0.49958157539367676,-0.2453107386827469,-0.4297223389148712,-0.3165985643863678,-0.5325255990028381
27,0.7654786885643006,0.82454,0.47203343691825866,0.8811,0.07526839524507523,-0.0436360165476799,0.1551009863615036,-0.32214120030403137,-0.2227955460548401,-0.2742357850074768,-0.6030673980712891,-0.5859483480453491,-0.4493906795978546,-0.5498142242431641,-0.8878108859062195,-0.8466810584068298,-0.525457501411438,-0.2750033438205719,-0.4323914349079132,-0.3430929481983185,-0.5583701729774475
