arch,width,seed,noise,params
transformer,400,0,0.0,52588800
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,5.636857528858248,0.306900759477448,4.322058192892808,0.46028931352367314,-1.935162901878357,-0.7430399060249329,-1.4224518537521362,-0.8870200514793396,-1.2593175172805786,-1.0448167324066162,-1.3218737840652466,-1.1285630464553833,-1.377138376235962,-1.0647028684616089,-1.4600045680999756,-1.0858148336410522
2,4.013131076665852,0.4956300781298263,3.692075024491712,0.5436319699275038,-4.613255977630615,-2.5470316410064697,-4.501438140869141,-2.386451482772827,-3.5981862545013428,-3.052194595336914,-3.2452855110168457,-3.1856627464294434,-3.276972770690918,-2.636704444885254,-2.8106775283813477,-2.4891834259033203
3,3.50307293527873,0.565093564597675,3.414797783639473,0.5854795041618187,-5.599625587463379,-3.2546772956848145,-5.801436424255371,-2.261108875274658,-4.2169108390808105,-3.8555450439453125,-4.005319118499756,-3.640995740890503,-3.6089394092559814,-3.0752170085906982,-2.9741079807281494,-2.715580940246582
4,3.253044362954803,0.6011018883381565,3.291728489859128,0.6033630179897969,-5.9630446434021,-3.621035099029541,-6.043384552001953,-2.4797122478485107,-4.839634895324707,-4.600897789001465,-4.50473690032959,-4.139608383178711,-3.930305242538452,-3.549621820449829,-3.011603832244873,-3.038625955581665
5,3.0923986200444125,0.6257288351181937,3.227715178365237,0.6153338405083684,-6.153802871704102,-3.8746159076690674,-6.334508419036865,-2.6397554874420166,-4.958249092102051,-4.7229743003845215,-4.653653144836426,-4.357577800750732,-3.995898962020874,-3.4359755516052246,-3.1512837409973145,-3.076082706451416
6,2.9689470386681833,0.6450957508674402,3.194193816328768,0.621218562606283,-6.379162788391113,-3.712362766265869,-6.430386066436768,-2.7601051330566406,-5.0476531982421875,-4.831626892089844,-4.6316752433776855,-4.489166259765625,-4.079483985900879,-3.5688843727111816,-3.1351964473724365,-3.1034257411956787
7,2.8679964088624144,0.6621748316373338,3.1783983287453426,0.6248993108386288,-6.561287879943848,-3.6585946083068848,-6.367988586425781,-2.741118907928467,-4.811931133270264,-5.205425262451172,-4.542494297027588,-4.6122541427612305,-4.1302170753479,-3.7361016273498535,-3.2370505332946777,-3.229660987854004
8,2.779902012761857,0.6777553543191497,3.177209675937536,0.6277074196724246,-6.689993858337402,-3.8331820964813232,-6.376727104187012,-2.880892515182495,-5.077357292175293,-5.196516513824463,-4.654402256011963,-4.604954719543457,-4.1573638916015625,-3.757737159729004,-3.2918150424957275,-3.1921699047088623
9,2.7000777728664547,0.6925091152162072,3.1859209565446616,0.6276682627763358,-6.765303134918213,-3.7059030532836914,-6.432844161987305,-2.6500275135040283,-5.019199371337891,-5.408796787261963,-4.726992130279541,-4.466458320617676,-4.167806148529053,-3.8133416175842285,-3.287893772125244,-3.125068187713623
10,2.627348139080729,0.7065525478523983,3.2030043050061296,0.6261635191980668,-6.852956295013428,-3.743666648864746,-6.430374622344971,-3.0018184185028076,-5.0742106437683105,-5.216723442077637,-4.717470169067383,-4.6488823890686035,-4.142476558685303,-3.9764316082000732,-3.3235023021698,-3.1903529167175293
11,2.557684455740221,0.7209059114514674,3.218048274342348,0.6249832184731048,-7.037813663482666,-3.756342887878418,-6.449852466583252,-3.037435293197632,-5.0635528564453125,-5.22479772567749,-4.670009613037109,-4.596327781677246,-4.165170192718506,-3.905158519744873,-3.3505361080169678,-3.264065980911255
12,2.4913779273342525,0.7349097650660478,3.2529296896738917,0.6204186431576121,-7.084680080413818,-3.691364288330078,-6.485215187072754,-2.8420400619506836,-5.131486892700195,-5.310397624969482,-4.722835063934326,-4.798429012298584,-4.218087196350098,-4.007631778717041,-3.4186437129974365,-3.189999580383301
13,2.431557947583322,0.7482483141745041,3.2864990515153796,0.6193110623825293,-7.166271686553955,-3.7241384983062744,-6.404969215393066,-3.2016348838806152,-5.038784027099609,-5.283209800720215,-4.700592517852783,-4.729013919830322,-4.237724304199219,-3.972515344619751,-3.4452638626098633,-3.307948350906372
14,2.3723127196232365,0.7616938732302785,3.3218924112382577,0.6175881589546227,-7.295969486236572,-3.6250503063201904,-6.428807258605957,-2.8757426738739014,-5.0981340408325195,-5.374174118041992,-4.713769912719727,-4.72952938079834,-4.213703632354736,-4.000375747680664,-3.408719539642334,-3.2940196990966797
15,2.318798903409471,0.7745920271935102,3.3590532705237144,0.6125984516244518,-7.344825267791748,-3.7668087482452393,-6.468031406402588,-3.3199920654296875,-5.029816150665283,-5.384077548980713,-4.686291694641113,-4.7676591873168945,-4.220573902130127,-4.046541690826416,-3.4462966918945312,-3.369042158126831
16,2.267513734920082,0.7872192009770365,3.384523500795652,0.6110993018884812,-7.41515588760376,-3.558586835861206,-6.471792221069336,-3.0639336109161377,-5.134089946746826,-5.331753253936768,-4.8216233253479,-4.746788501739502,-4.241050720214844,-4.061381816864014,-3.497661590576172,-3.356029510498047
17,2.229779769857646,0.796601942052543,3.434034157346657,0.6090016110265819,-7.537474632263184,-3.7101941108703613,-6.624216556549072,-3.070949077606201,-5.143580436706543,-5.4663405418396,-4.753129959106445,-4.782574653625488,-4.226027965545654,-4.075732231140137,-3.5127570629119873,-3.409820318222046
